Home Team,Home Score,Away Team,Away Score,HomeAway Bool
MTSU,45,W Carolina,24,1
Minnesota,51,UNLV,23,1
San Jose St,24,CS Sacramento,0,1
Ball St,51,Illinois St,28,1
UCF,38,Akron,7,1
Fresno St,52,Rutgers,51,1
Connecticut,18,Towson,33,1
Utah,30,Utah St,26,1
Wake Forest,31,Presbyterian,7,1
Indiana,73,Indiana St,35,1
Hawaii,13,USC,30,1
South Alabama,21,Southern Utah,22,1
Kent,17,Liberty,10,1
South Carolina,27,North Carolina,10,1
Vanderbilt,35,Mississippi,39,1
Tulane,34,Jackson St,7,1
Bowling Green,34,Tulsa,7,1
Georgia St,21,Samford,31,1
Houston,62,Southern Univ,13,1
Arizona,35,Northern Arizona,0,1
Michigan St,26,W Michigan,13,1
Miami FL,34,FL Atlantic,6,1
Army,28,Morgan St,12,1
SMU,23,Texas Tech,41,1
Kansas St,21,N Dakota St,24,1
Southern Miss,15,Texas St,22,1
Tennessee,45,Austin Peay,0,1
Georgia Tech,70,Elon,0,1
Texas,56,New Mexico St,7,1
Texas A&M,52,Rice,31,1
West Virginia,24,William & Mary,17,1
Illinois,42,S Illinois,34,1
Iowa,27,N Illinois,30,1
Iowa St,20,Northern Iowa,28,1
UCLA,58,Nevada,20,1
Virginia,19,BYU,16,1
Washington,38,Boise St,6,1
WKU,35,Kentucky,26,0
San Diego St,19,E Illinois,40,1
Arkansas St,62,Ark Pine Bluff,11,1
Arkansas,34,Louisiana,14,1
Troy,34,UAB,31,1
Auburn,31,Washington St,24,1
Air Force,38,Colgate,13,1
California,30,Northwestern,44,1
Cincinnati,42,Purdue,7,1
Florida,24,Toledo,6,1
E Michigan,34,Howard,24,1
Baylor,69,Wofford,3,1
Boston College,24,Villanova,14,1
Wisconsin,45,Massachusetts,0,1
Duke,45,NC Central,0,1
East Carolina,52,Old Dominion,38,1
Michigan,59,C Michigan,9,1
Missouri,58,Murray St,14,1
South Florida,21,McNeese St,53,1
Marshall,52,Miami OH,14,1
Maryland,43,Florida Intl,10,1
Nebraska,37,Wyoming,34,1
New Mexico,13,UT San Antonio,21,1
NC State,40,Louisiana Tech,14,1
North Texas,40,Idaho,6,1
Notre Dame,28,Temple,6,1
Ohio St,40,Buffalo,20,1
Oklahoma,34,ULM,0,1
Oklahoma St,21,Mississippi St,3,0
Oregon,66,Nicholls St,3,1
Oregon St,46,E Washington,49,1
Penn St,23,Syracuse,17,0
Alabama,35,Virginia Tech,10,0
Clemson,38,Georgia,35,1
LSU,37,TCU,27,0
Louisville,49,Ohio,7,1
Colorado,41,Colorado St,27,0
Pittsburgh,13,Florida St,41,1
East Carolina,31,FL Atlantic,13,1
Arizona St,55,CS Sacramento,0,1
Boston College,24,Wake Forest,10,1
