Home Team,Home Score,Away Team,Away Score,HomeAway Bool
Akron,14,UCF,56,1
Ball St,37,E Michigan,26,1
C Michigan,38,SE Missouri St,27,1
Utah,41,N Colorado,0,1
Vanderbilt,13,South Carolina,17,1
Kent,41,Towson,21,1
Connecticut,37,Massachusetts,0,1
MTSU,21,McNeese St,27,1
New Mexico St,49,CS Sacramento,19,1
Utah St,34,Southern Utah,3,1
Idaho,3,E Washington,20,1
UNLV,27,Minnesota,30,1
BYU,30,Washington St,6,1
Arizona St,63,Northern Arizona,6,1
Rice,24,UCLA,49,1
FL Atlantic,7,Wagner,3,1
Temple,41,Villanova,10,1
Tennessee,35,NC State,21,0
Michigan St,17,Boise St,13,1
Stanford,20,San Jose St,17,1
Iowa St,38,Tulsa,23,1
South Alabama,31,UT San Antonio,33,1
Mississippi,49,Cent Arkansas,27,1
Mississippi St,56,Jackson St,9,1
Memphis,17,TN Martin,20,1
Alabama,41,Michigan,14,0
South Florida,34,Chattanooga,13,1
LSU,41,North Texas,14,1
New Mexico,66,Southern Univ,21,1
Missouri,62,SE Louisiana,10,1
Nebraska,49,Southern Miss,20,1
North Carolina,62,Elon,0,1
Ohio St,56,Miami OH,10,1
Oklahoma St,84,Savannah St,0,1
Oregon,57,Arkansas St,34,1
Penn St,14,Ohio,24,1
Purdue,48,E Kentucky,6,1
Air Force,49,Idaho St,21,1
Texas Tech,44,Northwestern LA,6,1
Tulane,12,Rutgers,24,1
Clemson,26,Auburn,19,0
Duke,46,Florida Intl,26,1
East Carolina,35,Appalachian St,13,1
Florida,27,Bowling Green,14,1
Fresno St,37,Weber St,10,1
Boston College,32,Miami FL,41,1
California,24,Nevada,31,1
Arkansas,49,Jacksonville St,24,1
Florida St,69,Murray St,3,1
UAB,29,Troy,39,1
Wisconsin,26,Northern Iowa,21,1
Arizona,24,Toledo,17,1
USC,49,Hawaii,10,1
Texas,37,Wyoming,17,1
Syracuse,41,Northwestern,42,1
Louisiana,40,Lamar,0,1
Georgia,45,Buffalo,23,1
Illinois,24,W Michigan,7,1
Houston,13,Texas St,30,1
West Virginia,69,Marshall,34,1
UTEP,7,Oklahoma,24,1
Kansas,31,S Dakota St,17,1
Kansas St,51,Missouri St,9,1
Iowa,18,N Illinois,17,0
Virginia,43,Richmond,19,1
Washington,21,San Diego St,12,1
Notre Dame,50,Navy,10,0
Maryland,7,William & Mary,6,1
Pittsburgh,17,Youngstown St,31,1
WKU,49,Austin Peay,10,1
Wake Forest,20,Liberty,17,1
Indiana,24,Indiana St,17,1
Colorado St,22,Colorado,17,0
Louisville,32,Kentucky,14,1
Baylor,59,SMU,24,1
Virginia Tech,20,Georgia Tech,17,1
Cincinnati,34,Pittsburgh,10,1
Utah St,27,Utah,20,1
UCLA,36,Nebraska,30,1
Virginia Tech,42,Austin Peay,7,1
Wake Forest,28,North Carolina,27,1
Virginia,17,Penn St,16,1
Washington St,24,E Washington,20,1
Troy,24,Louisiana,37,1
Iowa,6,Iowa St,9,1
Kansas St,52,Miami FL,13,1
TCU,56,Grambling,0,1
Houston,49,Louisiana Tech,56,1
Georgia Tech,59,Presbyterian,3,1
South Alabama,9,Nicholls St,3,1
Stanford,50,Duke,13,1
Texas St,10,Texas Tech,58,1
Kansas,24,Rice,25,1
Kentucky,47,Kent,14,1
USC,42,Syracuse,29,0
Temple,27,Maryland,36,1
Texas,45,New Mexico,0,1
Texas A&M,17,Florida,20,1
