Home Team,Home Score,Away Team,Away Score,HomeAway Bool
California,51,Hawaii,31,0
C Michigan,49,Presbyterian,3,1
Cincinnati,28,TN Martin,7,1
Connecticut,24,Maine,21,1
Florida Intl,13,Indiana,34,1
Louisville,70,Charlotte,14,1
NC State,48,William & Mary,14,1
Wake Forest,7,Tulane,3,1
Minnesota,30,Oregon St,23,1
Vanderbilt,10,South Carolina,13,1
Utah,24,Southern Utah,0,1
Utah St,45,Weber St,6,1
Idaho,20,Montana St,17,1
UNLV,63,Jackson St,13,1
Tennessee,20,Appalachian St,13,1
WKU,46,Rice,14,1
New Mexico,48,South Dakota,21,1
Buffalo,16,Albany NY,22,1
E Michigan,61,MS Valley St,14,1
Georgia St,21,Ball St,31,1
Syracuse,33,Colgate,7,1
Colorado,44,Colorado St,7,0
Stanford,26,Kansas St,13,1
Temple,13,Army,28,1
Nevada,30,Cal Poly,27,1
Michigan St,28,Furman,13,1
Arkansas St,10,Toledo,31,1
Baylor,55,Northwestern LA,7,1
Georgia Tech,17,Boston College,14,0
Akron,47,VMI,24,1
Duke,49,NC Central,6,1
East Carolina,52,W Carolina,7,1
Florida,24,Massachusetts,7,1
FL Atlantic,38,S Illinois,30,1
Ga Southern,54,Savannah St,0,1
Kentucky,35,Southern Miss,44,1
Maryland,52,Howard,13,1
Miami FL,70,Florida A&M,3,1
Michigan,63,Hawaii,3,1
Navy,52,Fordham,16,1
Georgia,33,North Carolina,24,0
Ohio,54,Texas St,56,1
Ohio St,77,Bowling Green,10,1
Penn St,33,Kent,13,1
Pittsburgh,28,Villanova,7,1
Purdue,45,E Kentucky,24,1
South Florida,56,Towson,20,1
UCF,38,S Carolina St,0,1
Virginia,20,Richmond,37,1
Virginia Tech,36,Liberty,13,1
West Virginia,26,Missouri,11,1
Alabama,52,USC,6,0
Arkansas,21,Louisiana Tech,20,1
Illinois,52,Murray St,3,1
Iowa,45,Miami OH,21,1
Iowa St,20,Northern Iowa,25,1
Kansas,55,Rhode Island,6,1
Louisiana,10,Boise St,45,1
ULM,38,Southern Univ,21,1
Memphis,35,SE Missouri St,17,1
MTSU,55,Alabama A&M,0,1
Mississippi St,20,South Alabama,21,1
Nebraska,43,Fresno St,10,1
North Texas,21,SMU,34,1
Northwestern,21,W Michigan,22,1
Oklahoma St,61,SE Louisiana,7,1
TCU,59,S Dakota St,41,1
Texas A&M,31,UCLA,24,1
Texas Tech,69,SF Austin,17,1
Troy,57,Austin Peay,17,1
Tulsa,45,San Jose St,10,1
UT San Antonio,26,Alabama St,13,1
Auburn,13,Clemson,19,1
Houston,33,Oklahoma,23,1
Wisconsin,16,LSU,14,1
Air Force,37,Abilene Chr,21,1
UTEP,38,New Mexico St,22,1
Arizona,16,BYU,18,1
Arizona St,44,Northern Arizona,13,1
Oregon,53,UC Davis,28,1
San Diego St,31,New Hampshire,0,1
Washington,48,Rutgers,13,1
Washington St,42,E Washington,45,1
Wyoming,40,N Illinois,34,1
Old Dominion,54,Hampton,21,1
Texas,50,Notre Dame,47,1
Florida St,45,Mississippi,34,0
Florida Intl,14,Maryland,41,1
Syracuse,28,Louisville,62,1
Appalachian St,31,Old Dominion,7,1
Army,31,Rice,14,1
Bowling Green,27,North Dakota,26,1
Charlotte,47,Elon,14,1
Clemson,30,Troy,24,1
Duke,14,Wake Forest,24,1
East Carolina,33,NC State,30,1
Florida,45,Kentucky,7,1
Florida St,52,Charleston So,8,1
Georgia,26,Nicholls St,24,1
Georgia Tech,35,Mercer,10,1
Indiana,30,Ball St,20,1
Kent,36,NC A&T,39,1
Marshall,62,Morgan St,0,1
Boston College,26,Massachusetts,7,0
Miami FL,38,FL Atlantic,10,1
Miami OH,17,E Illinois,21,1
Michigan,51,UCF,14,1
Notre Dame,39,Nevada,10,1
Ohio St,48,Tulsa,3,1
Pittsburgh,42,Penn St,39,1
Purdue,20,Cincinnati,38,1
Rutgers,52,Howard,14,1
South Florida,48,N Illinois,17,1
Temple,38,Stony Brook,0,1
Tennessee,45,Virginia Tech,24,0
Toledo,45,Maine,3,1
West Virginia,38,Youngstown St,21,1
W Michigan,70,NC Central,21,1
Auburn,51,Arkansas St,14,1
Baylor,40,SMU,13,1
Houston,42,Lamar,0,1
Iowa,42,Iowa St,3,1
Kansas,21,Ohio,37,1
LSU,34,Jacksonville St,13,1
Louisiana Tech,53,S Carolina St,24,1
Louisiana,30,McNeese St,22,1
Minnesota,58,Indiana St,28,1
Mississippi St,27,South Carolina,14,1
Missouri,61,E Michigan,21,1
Nebraska,52,Wyoming,17,1
North Texas,41,Bethune-Cookman,20,1
Northwestern,7,Illinois St,9,1
Oklahoma,59,ULM,17,1
Oklahoma St,27,C Michigan,30,1
Mississippi,38,Wofford,13,1
South Alabama,9,Ga Southern,24,1
Southern Miss,56,Savannah St,0,1
TCU,38,Arkansas,41,1
Texas,41,UTEP,7,1
Texas A&M,67,Prairie View,0,1
Tulane,66,Southern Univ,21,1
Vanderbilt,47,MTSU,24,1
Wisconsin,54,Akron,10,1
Illinois,23,North Carolina,48,1
Alabama,38,WKU,10,1
Air Force,48,Georgia St,14,1
Boise St,31,Washington St,28,1
Colorado,56,Idaho St,7,1
Colorado St,23,UT San Antonio,14,1
New Mexico St,32,New Mexico,31,1
Utah,20,BYU,19,1
Arizona,31,Grambling,21,1
Arizona St,68,Texas Tech,55,1
Fresno St,31,CS Sacramento,3,1
Oregon,44,Virginia,26,1
San Jose St,66,Portland St,35,1
UCLA,42,UNLV,21,1
USC,45,Utah St,7,1
Washington,59,Idaho,14,1
Navy,28,Connecticut,24,1
Hawaii,41,TN Martin,36,1
San Diego St,45,California,40,1
Cincinnati,16,Houston,40,1
UT San Antonio,28,Arizona St,32,1
Rice,10,Baylor,38,1
