,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
107,Alabama,52,Southern Miss,12,1
108,Iowa,17,Iowa St,20,1
109,LSU,31,ULM,0,1
110,MTSU,50,WKU,47,1
111,Oklahoma,34,Tennessee,10,1
112,Oklahoma St,43,UT San Antonio,13,1
113,South Alabama,3,Mississippi St,35,1
114,TCU,30,Minnesota,7,1
115,Texas A&M,38,Rice,10,1
116,Texas St,21,Navy,35,1
117,Texas Tech,28,Arkansas,49,1
118,Vanderbilt,34,Massachusetts,31,1
119,UCLA,20,Texas,17,0
120,UTEP,42,New Mexico St,24,1
121,Colorado,24,Arizona St,38,1
122,Arizona,35,Nevada,28,1
123,Oregon,48,Wyoming,14,1
124,Stanford,35,Army,0,1
125,UNLV,34,N Illinois,48,1
126,Washington,44,Illinois,19,1
127,Mississippi,56,Louisiana,15,1
128,Utah St,36,Wake Forest,24,1
129,Florida,36,Kentucky,30,1
130,Notre Dame,30,Purdue,14,0
131,Rutgers,10,Penn St,13,1
132,Fresno St,19,Nebraska,55,1
133,Kansas St,14,Auburn,20,1
134,South Florida,17,Connecticut,14,1
135,Akron,17,Marshall,48,1
136,Cincinnati,31,Miami OH,24,1
137,Duke,47,Tulane,13,1
138,East Carolina,70,North Carolina,41,1
139,Georgia,66,Troy,0,1
140,Michigan,10,Utah,26,1
141,Michigan St,73,E Michigan,14,1
142,Penn St,48,Massachusetts,7,1
143,Pittsburgh,20,Iowa,24,1
144,Syracuse,20,Maryland,34,1
145,Toledo,34,Ball St,23,1
146,Virginia Tech,24,Georgia Tech,27,1
147,Wake Forest,24,Army,21,1
148,West Virginia,33,Oklahoma,45,1
149,Florida St,23,Clemson,17,1
150,Florida Intl,3,Louisville,34,1
151,Alabama,42,Florida,21,1
152,Arkansas,52,N Illinois,14,1
153,Arkansas St,21,Utah St,14,1
154,Illinois,42,Texas St,35,1
155,Kansas,24,C Michigan,10,1
156,LSU,29,Mississippi St,34,1
157,Memphis,36,MTSU,17,1
158,Minnesota,24,San Jose St,7,1
159,Missouri,27,Indiana,31,1
160,Rice,42,Old Dominion,45,1
161,South Alabama,6,Ga Southern,28,1
162,Southern Miss,21,Appalachian St,20,1
163,Wisconsin,68,Bowling Green,17,1
164,Vanderbilt,34,South Carolina,48,1
165,SMU,6,Texas A&M,58,1
166,BYU,41,Virginia,33,1
167,Colorado,21,Hawaii,12,1
168,Wyoming,20,FL Atlantic,19,1
169,Arizona,49,California,45,1
170,Oregon St,28,San Diego St,7,1
171,Washington,45,Georgia St,14,1
172,Washington St,31,Oregon,38,1
173,Navy,24,Rutgers,31,1
174,Nebraska,41,Miami FL,31,1
175,New Mexico St,35,New Mexico,38,1
176,Boise St,34,Louisiana,9,1
177,Houston,47,UNLV,14,1
178,Ga Southern,34,Appalachian St,14,1
179,Oklahoma St,45,Texas Tech,35,1
180,Arizona St,27,UCLA,62,1
181,Old Dominion,28,MTSU,41,1
182,New Mexico,24,Fresno St,35,1
183,Boston College,21,Colorado St,24,1
184,Buffalo,35,Miami OH,27,1
185,Clemson,50,North Carolina,35,1
186,Connecticut,10,Temple,36,1
187,FL Atlantic,41,UT San Antonio,37,1
188,Georgia,35,Tennessee,32,1
189,Indiana,15,Maryland,37,1
190,Louisville,20,Wake Forest,10,1
191,Massachusetts,42,Bowling Green,47,1
192,Michigan,14,Minnesota,30,1
193,Michigan St,56,Wyoming,14,1
194,Penn St,6,Northwestern,29,1
195,Pittsburgh,10,Akron,21,1
196,Purdue,10,Iowa,24,1
197,Rutgers,31,Tulane,6,1
198,Toledo,42,C Michigan,28,1
199,Virginia,45,Kent,13,1
200,Virginia Tech,35,W Michigan,17,1
201,NC State,41,Florida St,56,1
202,South Carolina,20,Missouri,21,1
203,Notre Dame,31,Syracuse,15,0
204,Miami FL,22,Duke,10,1
205,Kentucky,17,Vanderbilt,7,1
206,Auburn,45,Louisiana Tech,17,1
207,Kansas,0,Texas,23,1
208,Kansas St,58,UTEP,28,1
209,LSU,63,New Mexico St,7,1
210,Mississippi,24,Memphis,3,1
211,SMU,0,TCU,56,1
212,Southern Miss,23,Rice,41,1
213,Texas A&M,35,Arkansas,28,0
214,Tulsa,34,Texas St,37,1
215,UAB,20,Florida Intl,34,1
216,Wisconsin,27,South Florida,10,1
217,Iowa St,28,Baylor,49,1
218,Utah,27,Washington St,28,1
219,California,59,Colorado,56,1
220,San Diego St,34,UNLV,17,1
221,USC,35,Oregon St,10,1
222,Washington,13,Stanford,20,1
223,Navy,27,WKU,36,1
224,Ohio St,50,Cincinnati,28,1
225,Air Force,28,Boise St,14,1
226,ULM,22,Troy,20,1
227,Nebraska,45,Illinois,14,1
228,San Jose St,10,Nevada,21,1
229,Florida Intl,38,FL Atlantic,10,1
230,Houston,12,UCF,17,1
231,Oregon,24,Arizona,31,1
232,Syracuse,6,Louisville,28,1
233,BYU,20,Utah St,35,1
234,Fresno St,24,San Diego St,13,1
235,Akron,31,E Michigan,6,1
236,Appalachian St,21,South Alabama,47,1
237,Army,33,Ball St,24,1
238,Bowling Green,36,Buffalo,35,1
239,C Michigan,28,Ohio,10,1
240,Cincinnati,14,Memphis,41,1
241,Clemson,41,NC State,0,1
242,East Carolina,45,SMU,24,1
243,Florida St,43,Wake Forest,3,1
244,Georgia Tech,28,Miami FL,17,1
245,Indiana,49,North Texas,24,1
246,Miami OH,42,Massachusetts,41,1
247,North Carolina,17,Virginia Tech,34,1
248,Old Dominion,14,Marshall,56,1
249,Tennessee,9,Florida,10,1
250,Virginia,24,Pittsburgh,19,1
251,West Virginia,33,Kansas,14,1
252,W Michigan,19,Toledo,20,1
253,Kentucky,45,South Carolina,38,1
254,Maryland,24,Ohio St,52,1
255,Georgia,44,Vanderbilt,17,1
256,Arkansas St,28,ULM,14,1
257,Illinois,27,Purdue,38,1
258,Kansas St,45,Texas Tech,13,1
259,Louisiana,34,Georgia St,31,1
260,Louisiana Tech,55,UTEP,3,1
261,MTSU,37,Southern Miss,31,1
262,N Illinois,17,Kent,14,1
263,Oklahoma St,37,Iowa St,20,1
264,Rice,28,Hawaii,14,1
265,UT San Antonio,9,New Mexico,21,1
266,WKU,39,UAB,42,1
267,TCU,37,Oklahoma,33,1
268,Mississippi,23,Alabama,17,1
269,Texas,7,Baylor,28,1
270,Auburn,41,LSU,7,1
271,Mississippi St,48,Texas A&M,31,1
272,Northwestern,20,Wisconsin,14,1
273,Colorado,31,Oregon St,36,1
274,Colorado St,42,Tulsa,17,1
275,San Jose St,33,UNLV,10,1
276,UCLA,28,Utah,30,1
277,Washington St,59,California,60,1
278,USC,34,Arizona St,38,1
279,Air Force,30,Navy,21,1
280,Notre Dame,17,Stanford,14,1
281,Rutgers,26,Michigan,24,1
282,Michigan St,27,Nebraska,22,1
283,New Mexico St,28,Ga Southern,36,1
284,Nevada,46,Boise St,51,1
285,UCF,31,BYU,24,1
286,Stanford,34,Washington St,17,1
287,New Mexico,14,San Diego St,24,1
288,UNLV,30,Fresno St,27,1
289,Akron,29,Miami OH,19,1
290,Appalachian St,48,Liberty,55,1
291,Army,21,Rice,41,1
292,Ball St,38,W Michigan,42,1
293,E Michigan,37,Buffalo,27,1
294,Georgia St,10,Arkansas St,52,1
295,Iowa,45,Indiana,29,1
296,Kent,17,Massachusetts,40,1
297,Kentucky,48,ULM,14,1
298,Marshall,49,MTSU,24,1
299,Miami FL,55,Cincinnati,34,1
300,NC State,14,Boston College,30,1
301,Ohio,13,Bowling Green,31,1
302,South Florida,17,East Carolina,28,1
303,Temple,35,Tulsa,24,1
304,Syracuse,20,Florida St,38,1
305,Purdue,31,Michigan St,45,1
306,Florida,27,LSU,30,1
307,Clemson,23,Louisville,17,1
308,Georgia Tech,25,Duke,31,1
309,Baylor,61,TCU,58,1
310,Iowa St,37,Toledo,30,1
311,Memphis,24,Houston,28,1
312,Minnesota,24,Northwestern,17,1
313,Missouri,0,Georgia,34,1
314,N Illinois,17,C Michigan,34,1
315,Oklahoma,31,Texas,26,0
316,Texas A&M,20,Mississippi,35,1
317,Texas Tech,34,West Virginia,37,1
318,Troy,41,New Mexico St,24,1
319,Tulane,12,Connecticut,3,1
320,UAB,56,North Texas,21,1
321,UT San Antonio,16,Florida Intl,13,1
322,Wisconsin,38,Illinois,28,1
323,Mississippi St,38,Auburn,23,1
324,Arkansas,13,Alabama,14,1
325,Kansas,20,Oklahoma St,27,1
326,UTEP,42,Old Dominion,35,1
327,Utah St,34,Air Force,16,1
328,UCLA,30,Oregon,42,1
329,Arizona,26,USC,28,1
330,California,7,Washington,31,1
331,Notre Dame,50,North Carolina,43,1
332,Hawaii,38,Wyoming,28,1
333,Michigan,18,Penn St,13,1
334,Nevada,24,Colorado St,31,1
335,Texas St,10,Louisiana,34,1
336,Pittsburgh,21,Virginia Tech,16,1
337,Oregon St,23,Utah,29,1
338,Boise St,37,Fresno St,27,1
339,Houston,31,Temple,10,1
340,Bowling Green,14,W Michigan,26,1
341,C Michigan,29,Ball St,32,1
342,Duke,20,Virginia,13,1
343,Florida Intl,13,Marshall,45,1
344,FL Atlantic,45,WKU,38,1
345,Kent,39,Army,17,1
346,Louisville,30,NC State,18,1
347,Maryland,38,Iowa,31,1
348,Massachusetts,36,E Michigan,14,1
349,Minnesota,39,Purdue,38,1
350,North Carolina,48,Georgia Tech,43,1
351,Ohio,23,Akron,20,1
352,UCF,20,Tulane,13,1
353,Wake Forest,7,Syracuse,30,1
354,Florida,13,Missouri,42,1
355,Boston College,13,Clemson,17,1
356,West Virginia,41,Baylor,27,1
357,Florida St,31,Notre Dame,27,1
358,Georgia,45,Arkansas,32,0
359,LSU,41,Kentucky,3,1
360,Louisiana Tech,27,UT San Antonio,20,1
361,MTSU,34,UAB,22,1
362,North Texas,20,Southern Miss,30,1
363,N Illinois,51,Miami OH,41,1
364,Oklahoma,30,Kansas St,31,1
365,Mississippi,34,Tennessee,3,1
366,SMU,3,Cincinnati,41,1
367,South Alabama,30,Georgia St,27,1
368,Texas,48,Iowa St,45,1
369,Texas Tech,34,Kansas,21,1
370,Troy,14,Appalachian St,53,1
371,Tulsa,30,South Florida,38,1
372,TCU,42,Oklahoma St,9,1
373,Alabama,59,Texas A&M,0,1
374,Air Force,35,New Mexico,31,1
375,BYU,35,Nevada,42,1
376,Wyoming,20,San Jose St,27,1
377,USC,56,Colorado,28,1
378,Arizona St,26,Stanford,10,1
379,California,34,UCLA,36,1
380,Oregon,45,Washington,20,1
381,Ohio St,56,Rutgers,17,1
382,Indiana,17,Michigan St,56,1
383,Colorado St,16,Utah St,13,1
384,Northwestern,17,Nebraska,38,1
385,San Diego St,20,Hawaii,10,1
386,Louisiana,55,Arkansas St,40,1
387,East Carolina,31,Connecticut,21,1
388,Virginia Tech,6,Miami FL,30,1
389,Cincinnati,34,South Florida,17,1
390,South Alabama,27,Troy,13,1
391,California,41,Oregon,59,1
392,Boise St,55,BYU,30,1
393,Ball St,35,Akron,21,1
394,Buffalo,14,C Michigan,20,1
395,Clemson,16,Syracuse,6,1
396,E Michigan,17,N Illinois,28,1
397,Georgia St,31,Ga Southern,69,1
398,Illinois,28,Minnesota,24,1
399,Kentucky,31,Mississippi St,45,1
400,Marshall,35,FL Atlantic,16,1
401,Miami OH,10,Kent,3,1
402,Michigan St,35,Michigan,11,1
403,Navy,41,San Jose St,31,1
404,Pittsburgh,28,Georgia Tech,56,1
405,Toledo,42,Massachusetts,35,1
406,UCF,34,Temple,14,1
407,Virginia,27,North Carolina,28,1
408,Wake Forest,17,Boston College,23,1
409,W Michigan,42,Ohio,21,1
410,Wisconsin,52,Maryland,7,1
411,Tennessee,20,Alabama,34,1
412,Arkansas,45,UAB,17,1
413,Kansas St,23,Texas,0,1
414,LSU,10,Mississippi,7,1
415,Nebraska,42,Rutgers,24,1
416,Oklahoma St,10,West Virginia,34,1
417,Rice,41,North Texas,21,1
418,SMU,10,Memphis,48,1
419,Southern Miss,20,Louisiana Tech,31,1
420,TCU,82,Texas Tech,27,1
421,UT San Antonio,0,UTEP,34,1
422,WKU,66,Old Dominion,51,1
423,Auburn,42,South Carolina,35,1
424,Missouri,24,Vanderbilt,14,1
425,Colorado St,45,Wyoming,31,1
426,Utah St,34,UNLV,20,1
427,Colorado,37,UCLA,40,1
428,Utah,24,USC,21,1
429,Stanford,38,Oregon St,14,1
430,Washington St,37,Arizona,59,1
431,Washington,10,Arizona St,24,1
432,Hawaii,18,Nevada,26,1
433,ULM,18,Texas St,22,1
434,Penn St,24,Ohio St,31,1
435,Ga Southern,42,Troy,10,1
436,Louisville,31,Florida St,42,1
437,Memphis,40,Tulsa,20,1
438,Tulane,14,Cincinnati,38,1
439,Appalachian St,44,Georgia St,0,1
440,Army,6,Air Force,23,1
441,E Michigan,7,C Michigan,38,1
442,Florida Intl,17,Rice,31,1
443,FL Atlantic,28,UAB,31,1
444,Florida,38,Georgia,20,0
445,Georgia Tech,35,Virginia,10,1
446,Miami FL,47,North Carolina,20,1
447,Miami OH,10,W Michigan,41,1
448,Penn St,19,Maryland,20,1
449,South Carolina,42,Tennessee,45,1
450,South Florida,3,Houston,27,1
451,Syracuse,17,NC State,24,1
452,Temple,20,East Carolina,10,1
453,Virginia Tech,31,Boston College,33,1
454,West Virginia,30,TCU,31,1
455,Connecticut,37,UCF,29,1
456,Notre Dame,49,Navy,39,0
457,Rutgers,0,Wisconsin,37,1
458,Pittsburgh,48,Duke,51,1
459,Baylor,60,Kansas,14,1
460,Iowa,48,Northwestern,7,1
461,Louisiana,19,South Alabama,9,1
462,Louisiana Tech,59,WKU,10,1
463,MTSU,7,BYU,27,1
464,Mississippi St,17,Arkansas,10,1
465,Missouri,20,Kentucky,10,1
466,Nebraska,35,Purdue,14,1
467,Texas A&M,21,ULM,16,1
468,Texas Tech,13,Texas,34,1
469,Vanderbilt,42,Old Dominion,28,1
470,Mississippi,31,Auburn,35,1
471,Iowa St,14,Oklahoma,59,1
472,Kansas St,48,Oklahoma St,14,1
473,UTEP,35,Southern Miss,14,1
474,Colorado,23,Washington,38,1
475,Arizona St,19,Utah,16,1
476,Fresno St,17,Wyoming,45,1
477,Oregon St,31,California,45,1
478,UCLA,17,Arizona,7,1
479,UNLV,28,New Mexico,31,1
480,Oregon,45,Stanford,16,1
481,Washington St,17,USC,44,1
482,Michigan,34,Indiana,10,1
483,Hawaii,14,Utah St,35,1
484,San Jose St,31,Colorado St,38,1
485,New Mexico St,29,Texas St,37,1
486,Ohio St,55,Illinois,14,1
487,Nevada,30,San Diego St,14,1
488,Akron,10,Bowling Green,27,1
489,Kent,20,Toledo,30,1
490,Ball St,21,N Illinois,35,1
491,Ohio,37,Buffalo,14,1
492,Wake Forest,20,Clemson,34,1
493,Wyoming,3,Utah St,20,1
494,Temple,13,Memphis,16,1
495,Appalachian St,31,ULM,29,1
496,Florida St,34,Virginia,20,1
497,Indiana,7,Penn St,13,1
498,Kentucky,31,Georgia,63,1
499,NC State,23,Georgia Tech,56,1
500,Old Dominion,38,Florida Intl,35,1
501,Michigan St,37,Ohio St,49,1
502,Boston College,19,Louisville,38,1
503,Purdue,16,Wisconsin,34,1
504,Syracuse,10,Duke,27,1
505,Arkansas St,45,South Alabama,10,1
506,Houston,24,Tulane,31,1
507,Kansas,34,Iowa St,14,1
508,Minnesota,51,Iowa,14,1
509,North Texas,31,FL Atlantic,10,1
510,Northwestern,9,Michigan,10,1
511,Rice,17,UT San Antonio,7,1
512,Southern Miss,17,Marshall,63,1
513,TCU,41,Kansas St,20,1
514,Texas,33,West Virginia,16,1
515,Texas St,25,Ga Southern,28,1
516,Troy,45,Georgia St,21,1
517,Tulsa,38,SMU,28,1
518,UAB,24,Louisiana Tech,40,1
519,Vanderbilt,10,Florida,34,1
520,WKU,35,UTEP,27,1
521,LSU,13,Alabama,20,1
522,Oklahoma,14,Baylor,48,1
523,Auburn,38,Texas A&M,41,1
524,Arizona,38,Colorado,20,1
525,Colorado St,49,Hawaii,22,1
526,Utah,27,Oregon,51,1
527,Arizona St,55,Notre Dame,31,1
528,Oregon St,32,Washington St,39,1
529,UNLV,21,Air Force,48,1
530,Washington,30,UCLA,44,1
531,Army,35,Connecticut,21,0
532,New Mexico,49,Boise St,60,1
533,New Mexico St,16,Louisiana,44,1
534,Fresno St,38,San Jose St,24,1
535,Buffalo,55,Akron,24,1
536,N Illinois,27,Toledo,24,1
537,Bowling Green,30,Kent,20,1
538,Massachusetts,24,Ball St,10,1
539,UT San Antonio,12,Southern Miss,10,1
540,USC,38,California,30,1
541,Cincinnati,54,East Carolina,46,1
542,UCF,31,Tulsa,7,1
543,C Michigan,34,Miami OH,27,1
544,Duke,16,Virginia Tech,17,1
545,Florida Intl,38,MTSU,28,1
546,Marshall,41,Rice,14,1
547,Navy,52,Ga Southern,19,1
548,North Carolina,40,Pittsburgh,35,1
549,NC State,42,Wake Forest,13,1
550,Penn St,30,Temple,13,1
551,Rutgers,45,Indiana,23,1
552,Tennessee,50,Kentucky,16,1
553,W Michigan,51,E Michigan,7,1
554,Miami FL,26,Florida St,30,1
555,Georgia,34,Auburn,7,1
556,Florida,20,South Carolina,23,1
557,Georgia Tech,28,Clemson,6,1
558,Alabama,25,Mississippi St,20,1
559,Arkansas St,32,Appalachian St,37,1
560,Illinois,14,Iowa,30,1
561,Kansas,30,TCU,34,1
562,Oklahoma St,7,Texas,28,1
563,SMU,13,South Florida,14,1
564,South Alabama,24,Texas St,20,1
565,Tulane,7,Memphis,38,1
566,WKU,52,Army,24,1
567,Wisconsin,59,Nebraska,24,1
568,Texas A&M,27,Missouri,34,1
569,Texas Tech,30,Oklahoma,42,1
570,Minnesota,24,Ohio St,31,1
571,Arkansas,17,LSU,0,1
572,Air Force,45,Nevada,38,1
573,BYU,42,UNLV,23,1
574,Boise St,38,San Diego St,29,1
575,UTEP,35,North Texas,17,1
576,Utah St,28,New Mexico,21,1
577,Arizona,27,Washington,26,1
578,San Jose St,0,Hawaii,13,1
579,Stanford,17,Utah,20,1
580,Oregon St,35,Arizona St,27,1
581,Notre Dame,40,Northwestern,43,1
582,ULM,27,Louisiana,34,1
583,Maryland,15,Michigan St,37,1
584,Akron,30,Massachusetts,6,1
585,Ohio,14,N Illinois,21,1
586,Toledo,27,Bowling Green,20,1
587,West Virginia,20,Kansas St,26,1
588,Duke,20,North Carolina,45,1
589,Texas St,45,Arkansas St,27,1
590,Rice,31,UTEP,13,1
591,San Diego St,30,Air Force,14,1
592,Utah St,41,San Jose St,7,1
593,Ball St,45,E Michigan,30,1
594,C Michigan,20,W Michigan,32,1
595,Clemson,28,Georgia St,0,1
596,Connecticut,0,Cincinnati,41,1
597,East Carolina,34,Tulane,6,1
598,Florida St,20,Boston College,17,1
599,Michigan,16,Maryland,23,1
600,Michigan St,45,Rutgers,3,1
601,Ohio St,42,Indiana,27,1
602,Old Dominion,30,Louisiana Tech,27,1
603,Pittsburgh,30,Syracuse,7,1
604,Purdue,14,Northwestern,38,1
605,South Carolina,37,South Alabama,12,1
606,UCF,53,SMU,7,1
607,Virginia,30,Miami FL,13,1
608,Wake Forest,6,Virginia Tech,3,1
609,Tennessee,21,Missouri,29,1
610,Arkansas,30,Mississippi,0,1
611,Houston,38,Tulsa,28,1
612,Illinois,16,Penn St,14,1
613,Iowa St,31,Texas Tech,34,1
614,Louisiana,16,Appalachian St,35,1
615,Memphis,31,South Florida,20,1
616,MTSU,35,FL Atlantic,34,1
617,Nebraska,24,Minnesota,28,1
618,North Texas,17,Florida Intl,14,1
619,Oklahoma,44,Kansas,7,1
620,UAB,18,Marshall,23,1
621,WKU,45,UT San Antonio,7,1
622,Baylor,49,Oklahoma St,28,1
623,Iowa,24,Wisconsin,26,1
624,Mississippi St,51,Vanderbilt,0,1
625,Arizona St,52,Washington St,31,1
626,Colorado St,58,New Mexico,20,1
627,Utah,10,Arizona,42,1
628,Wyoming,14,Boise St,63,1
629,Nevada,20,Fresno St,40,1
630,Oregon,44,Colorado,10,1
631,Washington,37,Oregon St,13,1
632,California,17,Stanford,38,1
633,UCLA,38,USC,20,1
634,Notre Dame,28,Louisville,31,1
635,Hawaii,37,UNLV,35,1
636,New Mexico St,17,ULM,30,1
637,Miami OH,21,Ohio,24,1
638,Texas,10,TCU,48,1
639,Texas A&M,17,LSU,23,1
640,Kent,27,Akron,24,1
641,Bowling Green,24,Ball St,41,1
642,E Michigan,16,Toledo,52,1
643,Marshall,66,WKU,67,1
644,Massachusetts,21,Buffalo,41,1
645,Virginia Tech,24,Virginia,20,1
646,W Michigan,21,N Illinois,31,1
647,South Florida,0,UCF,16,1
648,Iowa,34,Nebraska,37,1
649,SMU,9,Houston,35,1
650,South Alabama,40,Navy,42,1
651,Tulsa,32,East Carolina,49,1
652,Arizona,42,Arizona St,35,1
653,UCLA,10,Stanford,31,1
654,Air Force,27,Colorado St,24,1
655,Missouri,21,Arkansas,14,1
656,Boston College,28,Syracuse,7,1
657,Duke,41,Wake Forest,21,1
658,FL Atlantic,28,Old Dominion,31,1
659,Florida St,24,Florida,19,1
660,Georgia,24,Georgia Tech,30,1
661,Georgia St,31,Texas St,54,1
662,Indiana,23,Purdue,16,1
663,Louisville,44,Kentucky,40,1
664,Maryland,38,Rutgers,41,1
665,Miami FL,23,Pittsburgh,35,1
666,North Carolina,7,NC State,35,1
667,Ohio St,42,Michigan,28,1
668,Temple,6,Cincinnati,14,1
669,Penn St,10,Michigan St,34,1
670,Clemson,35,South Carolina,17,1
671,Arkansas St,68,New Mexico St,35,1
672,Baylor,48,Texas Tech,46,0
673,Iowa St,24,West Virginia,37,1
674,Kansas St,51,Kansas,13,1
675,Louisiana Tech,76,Rice,31,1
676,Memphis,41,Connecticut,10,1
677,Northwestern,33,Illinois,47,1
678,Mississippi,31,Mississippi St,17,1
679,Southern Miss,24,UAB,45,1
680,Troy,23,Louisiana,42,1
681,UT San Antonio,34,North Texas,27,1
682,Vanderbilt,17,Tennessee,24,1
683,Wisconsin,34,Minnesota,24,1
684,Alabama,55,Auburn,44,1
685,Boise St,50,Utah St,19,1
686,Colorado,34,Utah,38,1
687,New Mexico,36,Wyoming,30,1
688,UTEP,24,MTSU,21,1
689,California,35,BYU,42,1
690,Fresno St,28,Hawaii,21,1
691,UNLV,27,Nevada,49,1
692,Oregon St,19,Oregon,47,1
693,USC,49,Notre Dame,14,1
694,Washington St,13,Washington,31,1
695,Ga Southern,22,ULM,16,1
696,East Carolina,30,UCF,32,1
697,N Illinois,51,Bowling Green,17,0
698,Oregon,51,Arizona,13,0
699,Cincinnati,38,Houston,31,1
700,Connecticut,20,SMU,27,1
701,Baylor,38,Kansas St,27,1
702,TCU,55,Iowa St,3,1
703,Tulane,3,Temple,10,1
704,Oklahoma,35,Oklahoma St,38,1
705,Alabama,42,Missouri,13,0
706,Boise St,28,Fresno St,14,1
707,Florida St,37,Georgia Tech,35,0
708,Marshall,26,Louisiana Tech,23,1
709,Ohio St,59,Wisconsin,0,0
710,Navy,17,Army,10,0
711,Louisiana,16,Nevada,3,0
712,Utah St,21,UTEP,6,0
713,Utah,45,Colorado St,10,0
714,Air Force,38,W Michigan,24,0
715,Bowling Green,33,South Alabama,28,0
716,Memphis,55,BYU,48,0
717,Marshall,52,N Illinois,23,0
718,San Diego St,16,Navy,17,1
719,WKU,49,C Michigan,48,0
720,Rice,30,Fresno St,6,0
721,Louisiana Tech,35,Illinois,18,0
722,Rutgers,40,North Carolina,21,0
723,NC State,34,UCF,27,0
724,Virginia Tech,33,Cincinnati,17,0
725,Arizona St,36,Duke,31,0
726,South Carolina,24,Miami FL,21,0
727,Penn St,31,Boston College,30,0
728,USC,45,Nebraska,42,0
729,Texas A&M,45,West Virginia,37,0
