,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
167,TCU,27,Virginia,7,1
168,Tulsa,27,Fresno St,26,1
169,UCLA,20,Oregon St,27,1
170,Virginia Tech,37,Bowling Green,0,1
171,Washington St,34,Colorado,35,1
172,Wake Forest,49,Army,37,1
173,W Michigan,30,Connecticut,24,1
174,Tennessee,47,Akron,26,1
175,Georgia,48,Vanderbilt,3,1
176,Georgia Tech,36,Miami FL,42,1
177,Illinois,24,Louisiana Tech,52,1
178,WKU,42,Southern Miss,17,1
179,Notre Dame,13,Michigan,6,1
180,New Mexico St,14,New Mexico,27,1
181,Minnesota,17,Syracuse,10,1
182,Hawaii,24,Nevada,69,1
183,Washington,17,Stanford,13,1
184,BYU,47,Hawaii,0,1
185,Wake Forest,27,Duke,34,1
186,Oregon,51,Washington St,26,0
187,W Michigan,17,Toledo,37,1
188,Virginia,38,Louisiana Tech,44,1
189,Houston,35,Rice,14,0
190,West Virginia,70,Baylor,63,1
191,Illinois,7,Penn St,35,1
192,Iowa,31,Minnesota,13,1
193,Iowa St,13,Texas Tech,24,1
194,South Alabama,10,Troy,31,1
195,Georgia Tech,28,MTSU,49,1
196,Georgia,51,Tennessee,44,1
197,Texas A&M,58,Arkansas,10,1
198,Texas St,21,Nevada,34,1
199,Southern Miss,17,Louisville,21,1
200,Louisiana,48,Florida Intl,20,1
201,Kentucky,17,South Carolina,38,1
202,Kent,45,Ball St,43,1
203,Michigan St,16,Ohio St,17,1
204,Miami FL,44,NC State,37,1
205,Massachusetts,34,Ohio,37,1
206,South Florida,17,Florida St,30,1
207,FL Atlantic,14,North Texas,20,1
208,Northwestern,44,Indiana,29,1
209,N Illinois,55,C Michigan,24,1
210,Navy,0,San Jose St,12,1
211,New Mexico,29,Boise St,32,1
212,Oklahoma St,36,Texas,41,1
213,Purdue,51,Marshall,41,1
214,Arkansas St,13,WKU,26,1
215,UAB,42,Tulsa,49,1
216,UCF,16,Missouri,21,1
217,Alabama,33,Mississippi,14,1
218,Akron,49,Miami OH,56,1
219,Arizona,35,Oregon St,38,1
220,SMU,16,TCU,24,1
221,Tulane,10,ULM,63,1
222,Air Force,42,Colorado St,21,1
223,Connecticut,24,Buffalo,17,1
224,Colorado,14,UCLA,42,1
225,Cincinnati,27,Virginia Tech,24,0
226,East Carolina,28,UTEP,18,1
227,Fresno St,52,San Diego St,40,1
228,Boston College,31,Clemson,45,1
229,California,17,Arizona St,27,1
230,Nebraska,30,Wisconsin,27,1
231,New Mexico St,14,UT San Antonio,35,1
232,Utah St,35,UNLV,13,1
233,Utah,28,USC,38,1
234,Florida Intl,20,Arkansas St,34,1
235,UCF,40,East Carolina,20,1
236,BYU,6,Utah St,3,1
237,Syracuse,14,Pittsburgh,13,1
238,Southern Miss,14,Boise St,40,1
239,Temple,37,South Florida,28,1
240,Texas,45,West Virginia,48,1
241,Kansas St,56,Kansas,16,1
242,Kentucky,14,Mississippi St,27,1
243,Louisiana,41,Tulane,13,1
244,Stanford,54,Arizona,48,1
245,Indiana,27,Michigan St,31,1
246,TCU,23,Iowa St,37,1
247,UTEP,0,SMU,17,1
248,Houston,44,North Texas,21,1
249,California,43,UCLA,17,1
250,Duke,42,Virginia,17,1
251,Florida,14,LSU,6,1
252,E Michigan,14,Kent,41,1
253,Colorado St,7,Fresno St,28,1
254,Clemson,47,Georgia Tech,31,1
255,Cincinnati,52,Miami OH,14,1
256,Texas Tech,20,Oklahoma,41,1
257,Toledo,50,C Michigan,35,1
258,Auburn,7,Arkansas,24,1
259,Ball St,23,N Illinois,35,1
260,Wisconsin,31,Illinois,14,1
261,Akron,10,Bowling Green,24,1
262,South Carolina,35,Georgia,7,1
263,Rutgers,19,Connecticut,3,1
264,Louisiana Tech,58,UNLV,31,1
265,Marshall,38,Tulsa,45,1
266,Memphis,14,Rice,10,1
267,Maryland,19,Wake Forest,14,1
268,MTSU,17,ULM,31,1
269,Mississippi,27,Texas A&M,30,1
270,Missouri,15,Vanderbilt,19,1
271,North Carolina,48,Virginia Tech,34,1
272,NC State,17,Florida St,16,1
273,New Mexico,35,Texas St,14,1
274,Nevada,35,Wyoming,28,1
275,Penn St,39,Northwestern,28,1
276,Oregon St,19,Washington St,6,1
277,Oregon,52,Washington,21,1
278,Ohio,38,Buffalo,31,1
279,Air Force,21,Navy,28,1
280,Army,34,Boston College,31,1
281,W Michigan,52,Massachusetts,14,1
282,Purdue,13,Michigan,44,1
283,Notre Dame,41,Miami FL,3,0
284,Ohio St,63,Nebraska,38,1
285,San Diego St,52,Hawaii,14,1
286,Colorado,17,Arizona St,51,1
287,Troy,26,WKU,31,1
288,Tulsa,33,UTEP,11,1
289,C Michigan,13,Navy,31,1
290,Texas A&M,59,Louisiana Tech,57,0
291,Connecticut,14,Temple,17,1
292,Texas Tech,49,West Virginia,14,1
293,Tulane,27,SMU,26,1
294,E Michigan,47,Toledo,52,1
295,East Carolina,41,Memphis,7,1
296,BYU,24,Oregon St,42,1
297,Bowling Green,37,Miami OH,12,1
298,Baylor,21,TCU,49,1
299,San Diego St,38,Colorado St,14,1
300,Rutgers,23,Syracuse,15,1
301,Rice,34,UT San Antonio,14,1
302,Ball St,30,W Michigan,24,1
303,Arkansas St,36,South Alabama,29,1
304,Arkansas,49,Kentucky,7,1
305,Florida St,51,Boston College,7,1
306,Wyoming,27,Air Force,28,1
307,UCF,38,Southern Miss,31,1
308,Ohio,34,Akron,28,1
309,Oklahoma,63,Texas,21,0
310,Pittsburgh,35,Louisville,45,1
311,Purdue,14,Wisconsin,38,1
312,UNLV,37,Nevada,42,1
313,Missouri,10,Alabama,42,1
314,N Illinois,45,Buffalo,3,1
315,ULM,35,FL Atlantic,14,1
316,Mississippi St,41,Tennessee,31,1
317,Mississippi,41,Auburn,20,1
318,Michigan St,16,Iowa,19,1
319,Minnesota,13,Northwestern,21,1
320,Miami FL,14,North Carolina,18,1
321,Michigan,45,Illinois,0,1
322,LSU,23,South Carolina,21,1
323,Florida Intl,30,MTSU,34,1
324,Washington St,17,California,31,1
325,Washington,14,USC,24,1
326,Vanderbilt,17,Florida,31,1
327,UCLA,21,Utah,14,1
328,Virginia,20,Maryland,27,1
329,Virginia Tech,41,Duke,20,1
330,Houston,39,UAB,17,1
331,Iowa St,21,Kansas St,27,1
332,Kansas,14,Oklahoma St,20,1
333,Hawaii,23,New Mexico,35,1
334,Army,17,Kent,31,1
335,Boise St,20,Fresno St,10,1
336,Notre Dame,20,Stanford,13,1
337,San Jose St,27,Utah St,49,1
338,Indiana,49,Ohio St,52,1
339,North Texas,30,Louisiana,23,1
340,Arizona St,21,Oregon,43,1
341,SMU,72,Houston,42,1
342,Syracuse,40,Connecticut,10,1
343,Tennessee,13,Alabama,44,1
344,Temple,10,Rutgers,35,1
345,Texas,56,Baylor,50,1
346,Texas A&M,19,LSU,24,1
347,Southern Miss,24,Marshall,59,1
348,Kentucky,24,Georgia,29,1
349,Kent,41,W Michigan,24,1
350,South Alabama,37,FL Atlantic,34,1
351,Georgia Tech,37,Boston College,17,1
352,TCU,53,Texas Tech,56,1
353,UTEP,24,Tulane,20,1
354,West Virginia,14,Kansas St,55,1
355,Vanderbilt,17,Auburn,13,1
356,Virginia,10,Wake Forest,16,1
357,Troy,38,Florida Intl,37,1
358,Arizona,52,Washington,17,1
359,Akron,7,N Illinois,37,1
360,USC,50,Colorado,6,1
361,UAB,35,East Carolina,42,1
362,Buffalo,6,Pittsburgh,20,1
363,Fresno St,42,Wyoming,14,1
364,California,3,Stanford,21,1
365,Duke,33,North Carolina,30,1
366,Wisconsin,38,Minnesota,13,1
367,E Michigan,48,Army,38,1
368,Florida,44,South Carolina,11,1
369,Tulsa,28,Rice,24,1
370,Toledo,29,Cincinnati,23,1
371,Air Force,28,New Mexico,23,1
372,C Michigan,30,Ball St,41,1
373,Clemson,38,Virginia Tech,17,1
374,Northwestern,28,Nebraska,29,1
375,Navy,31,Indiana,30,1
376,Ohio St,29,Purdue,22,1
377,Oklahoma,52,Kansas,7,1
378,Oklahoma St,31,Iowa St,10,1
379,Oregon St,21,Utah,7,1
380,Louisville,27,South Florida,25,1
381,Michigan,12,Michigan St,10,1
382,Maryland,18,NC State,20,1
383,Memphis,17,UCF,35,1
384,Miami FL,20,Florida St,33,1
385,Massachusetts,0,Bowling Green,24,1
386,Mississippi St,45,MTSU,3,1
387,Utah St,41,New Mexico St,7,1
388,Notre Dame,17,BYU,14,1
389,Boise St,32,UNLV,7,1
390,WKU,42,ULM,43,1
391,UT San Antonio,24,San Jose St,52,1
392,Iowa,14,Penn St,38,1
393,Nevada,38,San Diego St,39,1
394,Louisiana,27,Arkansas St,50,1
395,Wake Forest,13,Clemson,42,1
396,Air Force,48,Nevada,31,1
397,Louisville,34,Cincinnati,31,1
398,Tulane,55,UAB,45,1
399,C Michigan,35,Akron,14,1
400,Colorado St,42,Hawaii,27,1
401,East Carolina,28,Navy,56,1
402,Boston College,20,Maryland,17,1
403,Bowling Green,24,E Michigan,3,1
404,Florida St,48,Duke,7,1
405,Wisconsin,13,Michigan St,16,1
406,Buffalo,20,Toledo,25,1
