Home Team,Home Score,Away Team,Away Score,HomeAway Bool
Louisville,21,Murray St,9,1
C Michigan,21,S Carolina St,6,1
Toledo,58,New Hampshire,22,1
Utah,27,Montana St,10,1
Idaho,15,Bowling Green,32,1
Kentucky,14,WKU,3,0
Temple,42,Villanova,7,1
Georgia Tech,63,W Carolina,21,1
Florida Intl,41,North Texas,16,1
Rutgers,48,NC Central,0,1
Memphis,14,Mississippi St,59,1
Wisconsin,51,UNLV,17,1
Syracuse,36,Wake Forest,29,1
Arizona St,48,UC Davis,14,1
Michigan St,28,Youngstown St,6,1
Baylor,50,TCU,48,1
Connecticut,35,Fordham,3,1
San Diego St,49,Cal Poly,21,1
Pittsburgh,35,Buffalo,16,1
Purdue,27,MTSU,24,1
Oklahoma St,61,Louisiana,34,1
LSU,40,Oregon,27,0
Oregon St,28,CS Sacramento,29,1
Penn St,41,Indiana St,7,1
New Mexico St,24,Ohio,44,1
North Carolina,42,James Madison,10,1
NC State,43,Liberty,21,1
N Illinois,49,Army,26,1
Ohio St,42,Akron,0,1
Oklahoma,47,Tulsa,14,1
Michigan,34,W Michigan,10,1
Mississippi,13,BYU,14,1
Missouri,17,Miami OH,6,1
Navy,40,Delaware,17,1
Nebraska,40,Chattanooga,7,1
New Mexico,10,Colorado St,14,1
Vanderbilt,45,Elon,14,1
Tulane,47,SE Louisiana,33,1
Air Force,37,South Dakota,20,1
Texas Tech,50,Texas St,10,1
Cincinnati,72,Austin Peay,10,1
Clemson,43,Troy,19,1
California,36,Fresno St,21,1
Florida,41,FL Atlantic,3,1
Boston College,17,Northwestern,24,1
South Carolina,56,East Carolina,37,0
USC,19,Minnesota,17,1
Alabama,48,Kent,7,1
Arizona,41,Northern Arizona,10,1
Arkansas,51,Missouri St,7,1
Auburn,42,Utah St,38,1
Ball St,27,Indiana,20,0
Florida St,34,ULM,0,1
UCF,62,Charleston So,0,1
Wyoming,35,Weber St,32,1
Duke,21,Richmond,23,1
Hawaii,34,Colorado,17,1
Tennessee,42,Montana,16,1
Texas,34,Rice,9,1
Southern Miss,19,Louisiana Tech,17,1
Stanford,57,San Jose St,3,1
Kansas St,10,E Kentucky,7,1
Iowa St,20,Northern Iowa,19,1
Kansas,42,McNeese St,24,1
Houston,38,UCLA,34,1
Illinois,33,Arkansas St,15,1
Iowa,34,Tennessee Tech,7,1
Virginia,40,William & Mary,3,1
Virginia Tech,66,Appalachian St,13,1
Washington,30,E Washington,27,1
Washington St,64,Idaho St,21,1
UTEP,31,Stony Brook,24,1
Notre Dame,20,South Florida,23,1
Boise St,35,Georgia,21,0
E Michigan,41,Howard,9,1
Texas A&M,46,SMU,14,1
West Virginia,34,Marshall,13,1
Maryland,32,Miami FL,24,1
Oklahoma St,37,Arizona,14,1
Louisville,17,Florida Intl,24,1
