Home Team,Home Score,Away Team,Away Score,HomeAway Bool
Georgia St,38,Abilene Chr,37,1
Akron,41,Howard,0,1
C Michigan,20,Chattanooga,16,1
Minnesota,42,E Illinois,20,1
N Illinois,55,Presbyterian,3,1
Tulsa,38,Tulane,31,1
Utah,56,Idaho St,14,1
Arizona St,45,Weber St,14,1
Rutgers,41,Washington St,38,0
South Carolina,28,Texas A&M,52,1
ULM,17,Wake Forest,10,1
New Mexico St,28,Cal Poly,10,1
Mississippi,35,Boise St,13,0
Vanderbilt,7,Temple,37,1
San Jose St,42,North Dakota,10,1
Michigan St,45,Jacksonville St,7,1
Syracuse,27,Villanova,26,1
WKU,59,Bowling Green,31,1
Colorado St,31,Colorado,17,0
Connecticut,10,BYU,35,1
Houston,7,UT San Antonio,27,1
Arizona,58,UNLV,13,1
Penn St,26,UCF,24,0
Ball St,30,Colgate,10,1
Buffalo,38,Duquesne,28,1
Duke,52,Elon,13,1
East Carolina,52,NC Central,7,1
E Michigan,31,Morgan St,28,1
Florida Intl,12,Bethune-Cookman,14,1
Georgia Tech,38,Wofford,19,1
Indiana,28,Indiana St,10,1
Kent,14,Ohio,17,1
Kentucky,59,TN Martin,14,1
Maryland,52,James Madison,7,1
Massachusetts,7,Boston College,30,1
Miami OH,27,Marshall,42,1
Michigan,52,Appalachian St,14,1
North Carolina,56,Liberty,29,1
NC State,24,Ga Southern,23,1
Old Dominion,41,Hampton,28,1
Pittsburgh,62,Delaware,0,1
Purdue,43,W Michigan,34,1
South Florida,36,W Carolina,31,1
Toledo,54,New Hampshire,20,1
Virginia Tech,34,William & Mary,9,1
Georgia,45,Clemson,21,1
Ohio St,34,Navy,17,0
Virginia,20,UCLA,28,1
Arkansas St,37,Montana St,10,1
Illinois,28,Youngstown St,17,1
Iowa,31,Northern Iowa,23,1
Iowa St,14,N Dakota St,34,1
Kansas St,55,SF Austin,16,1
Louisiana,45,Southern Univ,6,1
Memphis,63,Austin Peay,0,1
MTSU,61,Savannah St,7,1
Missouri,38,S Dakota St,18,1
Nebraska,55,FL Atlantic,7,1
Northwestern,24,California,31,1
Oklahoma,48,Louisiana Tech,16,1
TCU,48,Samford,14,1
Texas,38,North Texas,7,1
Texas St,65,Ark Pine Bluff,0,1
Texas Tech,42,Cent Arkansas,35,1
UAB,48,Troy,10,1
Florida St,37,Oklahoma St,31,0
Air Force,44,Nicholls St,16,1
New Mexico,24,UTEP,31,1
Wyoming,17,Montana,12,1
Alabama,33,West Virginia,23,0
Nevada,28,Southern Utah,19,1
Oregon,62,South Dakota,13,1
Oregon St,29,Portland St,14,1
San Diego St,38,Northern Arizona,7,1
Stanford,45,UC Davis,0,1
USC,52,Fresno St,13,1
Notre Dame,48,Rice,17,1
Auburn,45,Arkansas,21,1
Mississippi St,49,Southern Miss,0,1
Hawaii,16,Washington,17,1
LSU,28,Wisconsin,24,0
Baylor,45,SMU,0,1
Tennessee,38,Utah St,7,1
Louisville,31,Miami FL,13,1
UT San Antonio,23,Arizona,26,1
Boston College,20,Pittsburgh,30,1
Nevada,24,Washington St,13,1
Alabama,41,FL Atlantic,0,1
Appalachian St,66,Campbell,0,1
Army,47,Buffalo,39,1
Bowling Green,48,VMI,7,1
