,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
0,Hawaii,36,USC,49,1
1,Iowa St,27,N Illinois,10,1
2,Ohio St,45,Marshall,7,1
3,MTSU,17,Minnesota,24,1
4,Utah,27,Pittsburgh,24,1
5,South Carolina,41,Southern Miss,13,1
6,UAB,31,FL Atlantic,32,1
7,Toledo,2,Arizona,41,1
8,Akron,3,Syracuse,29,1
9,Alabama,48,San Jose St,3,1
10,Auburn,52,Arkansas St,26,1
11,E Michigan,27,Army,31,1
12,Troy,30,Bowling Green,27,1
13,BYU,23,Washington,17,1
14,Fresno St,28,Cincinnati,14,1
15,Clemson,35,North Texas,10,1
16,Colorado,24,Colorado St,3,0
17,Michigan,30,Connecticut,10,1
18,Florida,34,Miami OH,12,1
19,Georgia,55,Louisiana,7,1
20,Houston,68,Texas St,28,1
21,Missouri,23,Illinois,13,0
22,Kansas St,31,UCLA,22,1
23,Louisville,16,Kentucky,23,1
24,LSU,30,North Carolina,24,0
25,Mississippi St,49,Memphis,7,1
26,Michigan St,38,W Michigan,14,1
27,Nebraska,49,WKU,10,1
28,UNLV,21,Wisconsin,41,1
29,Oregon,72,New Mexico,0,1
30,Vanderbilt,21,Northwestern,23,1
31,Notre Dame,23,Purdue,12,1
32,Oklahoma,31,Utah St,24,1
33,Oklahoma St,65,Washington St,17,1
34,TCU,30,Oregon St,21,0
35,Rice,17,Texas,34,1
36,West Virginia,31,Coastal Car,0,1
37,East Carolina,51,Tulsa,49,1
38,Texas Tech,35,SMU,27,1
39,Boise St,33,Virginia Tech,30,0
40,Maryland,17,Navy,14,0
41,Mississippi St,14,Auburn,17,1
42,Temple,13,C Michigan,10,1
43,Houston,54,UTEP,24,1
44,Marshall,21,West Virginia,24,1
45,Air Force,35,BYU,14,1
46,Alabama,24,Penn St,3,1
47,SMU,28,UAB,7,1
48,Arkansas,31,ULM,7,0
49,Louisiana,31,Arkansas St,24,1
50,Army,28,Hawaii,31,1
51,Ball St,23,Liberty,27,1
52,Baylor,34,Buffalo,6,1
53,Boston College,26,Kent,13,1
54,Tulsa,33,Bowling Green,20,1
55,California,52,Colorado,7,1
56,UCF,21,NC State,28,1
57,Nevada,51,Colorado St,6,1
58,Wake Forest,54,Duke,48,1
59,East Carolina,49,Memphis,27,1
60,Miami OH,28,E Michigan,21,1
61,Florida,38,South Florida,14,1
62,Michigan St,30,FL Atlantic,17,0
63,Florida Intl,14,Rutgers,19,1
