,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
0,Minnesota,51,UNLV,23,1
1,UCF,38,Akron,7,1
2,Fresno St,52,Rutgers,51,1
3,Utah,30,Utah St,26,1
4,Hawaii,13,USC,30,1
5,Kent,17,Liberty,10,1
6,South Carolina,27,North Carolina,10,1
7,Vanderbilt,35,Mississippi,39,1
8,Bowling Green,34,Tulsa,7,1
9,Michigan St,26,W Michigan,13,1
10,Miami FL,34,FL Atlantic,6,1
11,SMU,23,Texas Tech,41,1
12,Southern Miss,15,Texas St,22,1
13,Texas,56,New Mexico St,7,1
14,Texas A&M,52,Rice,31,1
15,Iowa,27,N Illinois,30,1
16,UCLA,58,Nevada,20,1
17,Virginia,19,BYU,16,1
18,Washington,38,Boise St,6,1
19,WKU,35,Kentucky,26,0
20,Arkansas,34,Louisiana,14,1
21,Troy,34,UAB,31,1
22,Auburn,31,Washington St,24,1
23,California,30,Northwestern,44,1
24,Cincinnati,42,Purdue,7,1
25,Florida,24,Toledo,6,1
26,Wisconsin,45,Massachusetts,0,1
27,East Carolina,52,Old Dominion,38,1
28,Michigan,59,C Michigan,9,1
29,Marshall,52,Miami OH,14,1
30,Maryland,43,Florida Intl,10,1
31,Nebraska,37,Wyoming,34,1
32,New Mexico,13,UT San Antonio,21,1
33,NC State,40,Louisiana Tech,14,1
34,Notre Dame,28,Temple,6,1
35,Ohio St,40,Buffalo,20,1
36,Oklahoma,34,ULM,0,1
37,Oklahoma St,21,Mississippi St,3,0
38,Penn St,23,Syracuse,17,0
39,Alabama,35,Virginia Tech,10,0
40,Clemson,38,Georgia,35,1
41,LSU,37,TCU,27,0
42,Louisville,49,Ohio,7,1
43,Colorado,41,Colorado St,27,0
44,Pittsburgh,13,Florida St,41,1
45,East Carolina,31,FL Atlantic,13,1
46,Boston College,24,Wake Forest,10,1
47,Florida Intl,0,UCF,38,1
48,Baylor,70,Buffalo,13,1
49,Air Force,20,Utah St,52,1
50,BYU,40,Texas,21,1
51,Auburn,38,Arkansas St,9,1
52,Ball St,40,Army,14,1
53,USC,7,Washington St,10,1
54,Penn St,45,E Michigan,7,1
55,Oregon St,33,Hawaii,14,1
56,Oklahoma,16,West Virginia,7,1
57,Ohio,27,North Texas,21,1
58,Ohio St,42,San Diego St,7,1
59,Northwestern,48,Syracuse,27,1
60,North Carolina,40,MTSU,20,1
61,New Mexico St,21,Minnesota,44,1
62,UNLV,13,Arizona,58,1
63,Nebraska,56,Southern Miss,13,1
64,Maryland,47,Old Dominion,10,1
65,LSU,56,UAB,17,1
66,Missouri,38,Toledo,23,1
67,Michigan,41,Notre Dame,30,1
68,Michigan St,21,South Florida,6,1
69,Miami FL,21,Florida,16,1
70,Memphis,14,Duke,28,1
71,UTEP,35,New Mexico,42,1
72,Indiana,35,Navy,41,1
73,Illinois,45,Cincinnati,17,1
74,Virginia,10,Oregon,59,1
75,Tulane,39,South Alabama,41,1
76,Tulsa,30,Colorado St,27,1
77,Georgia,41,South Carolina,30,1
78,UT San Antonio,35,Oklahoma St,56,1
79,Tennessee,52,WKU,20,1
80,Temple,13,Houston,22,1
81,Stanford,34,San Jose St,13,1
82,Kentucky,41,Miami OH,7,1
83,Kent,22,Bowling Green,41,1
84,Kansas St,48,Louisiana,27,1
85,Louisiana Tech,15,Tulane,24,1
86,Arkansas St,41,Troy,34,1
87,Texas Tech,20,TCU,10,1
88,Boise St,42,Air Force,20,1
89,Florida St,62,Nevada,7,1
90,Auburn,24,Mississippi St,20,1
91,Arkansas,24,Southern Miss,3,1
92,Arizona St,32,Wisconsin,30,1
93,Arizona,38,UT San Antonio,13,1
