Home Team,Home Score,Away Team,Away Score,HomeAway Bool
Missouri,9,Connecticut,6,1
E Michigan,17,Ball St,28,1
Vanderbilt,47,Austin Peay,7,1
LSU,45,Auburn,21,1
Michigan St,35,Air Force,21,1
Tennessee,55,W Carolina,10,1
Indiana,38,WKU,35,1
Virginia,35,William & Mary,29,1
Wisconsin,28,Troy,3,1
FL Atlantic,15,Buffalo,33,1
Washington St,31,Wyoming,14,1
Purdue,24,Virginia Tech,51,1
Army,14,Wake Forest,17,1
Washington,31,Utah St,17,1
Fresno St,24,Utah,45,1
Oklahoma,52,Tulsa,38,1
New Mexico St,47,UTEP,50,1
Arkansas,24,Texas Tech,35,1
San Diego St,27,South Alabama,34,1
Oklahoma St,69,UT San Antonio,14,1
Oregon,61,Georgia St,28,1
Ohio,35,SE Louisiana,14,1
Hawaii,47,UC Davis,27,1
Florida Intl,39,NC Central,14,1
Akron,52,Savannah St,9,1
Maryland,35,South Florida,17,1
MTSU,73,Charlotte,14,1
Navy,45,East Carolina,21,1
Idaho,41,Wofford,38,1
Memphis,53,Cincinnati,46,1
Virginia,14,Boise St,56,1
Oregon St,24,Stanford,42,1
Florida,28,Tennessee,27,1
Texas Tech,52,TCU,55,1
Texas A&M,28,Arkansas,21,0
Nebraska,36,Southern Miss,28,1
Arizona St,14,USC,42,1
Georgia,48,Southern Univ,6,1
Houston,59,Texas St,14,1
Baylor,70,Rice,17,1
Penn St,37,San Diego St,21,1
Minnesota,27,Ohio,24,1
Texas,27,Oklahoma St,30,1
Auburn,9,Mississippi St,17,1
Kentucky,21,Missouri,13,1
Connecticut,18,Navy,28,1
Notre Dame,62,Massachusetts,27,1
WKU,56,Miami OH,14,1
Illinois,27,MTSU,25,1
Boston College,17,N Illinois,14,1
Alabama,34,ULM,0,1
Colorado,48,Nicholls St,0,1
South Alabama,13,NC State,63,1
Iowa,62,North Texas,16,1
Buffalo,21,Nevada,24,1
Wyoming,28,New Mexico,38,1
Northwestern,24,Ball St,19,1
E Michigan,36,Army,58,1
Louisiana,14,Akron,35,1
Toledo,37,Arkansas St,7,1
Old Dominion,0,Appalachian St,49,1
Washington,24,California,30,1
Michigan,31,BYU,0,1
Purdue,28,Bowling Green,35,1
North Carolina,41,Delaware,14,1
Michigan St,30,C Michigan,10,1
UT San Antonio,31,Colorado St,33,1
Wake Forest,24,Indiana,31,1
Duke,34,Georgia Tech,20,1
Wisconsin,28,Hawaii,0,1
San Jose St,49,Fresno St,23,1
Kent,29,Marshall,36,1
West Virginia,45,Maryland,6,1
Syracuse,24,LSU,34,1
UNLV,80,Idaho St,8,1
SMU,45,James Madison,48,1
Rutgers,27,Kansas,14,1
Ohio St,38,W Michigan,12,1
Louisville,45,Samford,3,1
South Carolina,31,UCF,14,1
Oregon,20,Utah,62,1
Arizona,30,UCLA,56,1
Mississippi,27,Vanderbilt,16,1
East Carolina,35,Virginia Tech,28,1
Charlotte,7,FL Atlantic,17,1
Louisiana Tech,27,Florida Intl,17,1
UTEP,27,Incarnate Word,17,1
Idaho,20,Ga Southern,44,1
Cincinnati,34,Miami FL,23,1
South Florida,17,Memphis,24,1
BYU,30,Connecticut,13,1
Charlotte,3,Temple,37,1
Utah St,33,Colorado St,18,1
SMU,23,East Carolina,49,1
Buffalo,22,Bowling Green,28,1
Tennessee,20,Arkansas,24,1
Stanford,55,Arizona,17,1
UCLA,23,Arizona St,38,1
Georgia,10,Alabama,38,1
Penn St,20,Army,14,1
Duke,9,Boston College,7,1
ULM,31,Ga Southern,51,1
San Diego St,21,Fresno St,7,1
LSU,44,E Michigan,22,1
Kentucky,34,E Kentucky,27,1
Wake Forest,16,Florida St,24,1
Tulsa,24,Houston,38,1
Boise St,55,Hawaii,0,1
Arkansas St,49,Idaho,35,1
Wisconsin,6,Iowa,10,1
Oklahoma St,36,Kansas St,34,1
Iowa St,38,Kansas,13,1
NC State,13,Louisville,20,1
Kent,20,Miami OH,14,1
Maryland,0,Michigan,28,1
Illinois,14,Nebraska,13,1
Nevada,17,UNLV,23,1
Texas A&M,30,Mississippi St,17,1
Northwestern,27,Minnesota,0,1
Florida,38,Mississippi,10,1
New Mexico,38,New Mexico St,29,1
Georgia Tech,31,North Carolina,38,1
C Michigan,29,N Illinois,19,1
Southern Miss,49,North Texas,14,1
Clemson,24,Notre Dame,22,1
Indiana,27,Ohio St,34,1
Akron,12,Ohio,14,1
Colorado,24,Oregon,41,1
Missouri,24,South Carolina,10,1
Auburn,35,San Jose St,21,1
Virginia Tech,13,Pittsburgh,17,1
Michigan St,24,Purdue,21,1
Louisiana Tech,43,Louisiana,14,1
TCU,50,Texas,7,1
Marshall,27,Old Dominion,7,1
Troy,18,South Alabama,24,1
Massachusetts,24,Florida Intl,14,1
UTEP,6,UT San Antonio,25,1
MTSU,13,Vanderbilt,17,1
Baylor,63,Texas Tech,35,0
Ball St,10,Toledo,24,1
Tulane,45,UCF,31,1
Appalachian St,31,Wyoming,13,1
Georgia St,33,Liberty,41,1
Oklahoma,44,West Virginia,24,1
Rice,10,WKU,49,1
California,34,Washington St,28,1
Navy,33,Air Force,11,1
Houston,49,SMU,28,1
USC,12,Washington,17,1
Virginia Tech,28,NC State,13,1
Marshall,31,Southern Miss,10,1
Mississippi,52,New Mexico St,3,1
Nevada,35,New Mexico,17,1
Tulsa,34,ULM,24,1
Michigan,38,Northwestern,0,1
Notre Dame,41,Navy,24,1
Ohio,34,Miami OH,3,1
Florida St,29,Miami FL,24,1
Rutgers,24,Michigan St,31,1
Purdue,13,Minnesota,41,1
WKU,58,MTSU,28,1
Louisiana,49,Texas St,27,1
South Florida,45,Syracuse,24,1
Kansas St,45,TCU,52,1
FL Atlantic,26,Rice,27,1
UNLV,27,San Jose St,33,1
Hawaii,14,San Diego St,28,1
West Virginia,26,Oklahoma St,33,1
Texas,24,Oklahoma,17,0
Arizona,44,Oregon St,7,1
E Michigan,21,Akron,47,1
Georgia St,3,Appalachian St,37,1
Alabama,27,Arkansas,14,1
Colorado St,10,Boise St,41,1
Kansas,7,Baylor,66,1
N Illinois,59,Ball St,41,1
Utah,30,California,24,1
W Michigan,41,C Michigan,39,1
BYU,45,East Carolina,38,1
Army,3,Duke,44,1
UCF,13,Connecticut,40,1
Arizona St,48,Colorado,23,1
UT San Antonio,31,Louisiana Tech,34,1
Ohio St,49,Maryland,28,1
Bowling Green,62,Massachusetts,38,1
LSU,45,South Carolina,24,1
Toledo,38,Kent,7,1
Texas Tech,66,Iowa St,31,1
Penn St,29,Indiana,7,1
Iowa,29,Illinois,20,1
Clemson,43,Georgia Tech,24,1
Missouri,3,Florida,21,1
Tennessee,38,Georgia,31,1
Boston College,0,Wake Forest,3,1
Pittsburgh,26,Virginia,19,1
Fresno St,14,Utah St,56,1
Florida Intl,52,UTEP,12,1
Temple,49,Tulane,10,1
Oregon,38,Washington St,45,1
Mississippi St,45,Troy,17,1
Nebraska,21,Wisconsin,23,1
Air Force,31,Wyoming,17,1
North Texas,7,Portland St,66,1
South Alabama,31,Arkansas St,49,1
Kentucky,27,Auburn,30,1
Stanford,56,UCLA,35,1
North Texas,28,WKU,55,1
Tulane,7,Houston,42,1
Utah St,52,Boise St,26,1
BYU,38,Cincinnati,24,1
Fresno St,31,UNLV,28,1
New Mexico,28,Hawaii,27,1
Troy,16,Idaho,19,1
LSU,35,Florida,28,1
Toledo,63,E Michigan,20,1
Northwestern,10,Iowa,40,1
Massachusetts,10,Kent,15,1
FL Atlantic,17,Marshall,33,1
Mississippi St,45,Louisiana Tech,20,1
Florida St,41,Louisville,21,1
Clemson,34,Boston College,17,1
Utah,34,Arizona St,18,1
Colorado,31,Arizona,38,1
ULM,14,Appalachian St,59,1
Texas A&M,23,Alabama,41,1
Bowling Green,59,Akron,10,1
Colorado St,38,Air Force,23,1
Army,21,Bucknell,14,1
Ohio St,38,Penn St,10,1
Washington,20,Oregon,26,1
Washington St,52,Oregon St,31,1
Kansas St,0,Oklahoma,55,1
San Jose,7,San Diego St,30,1
Georgia Tech,28,Pittsburgh,31,1
Indiana,52,Rutgers,55,1
Wisconsin,24,Purdue,7,1
Iowa St,21,TCU,45,1
Virginia,44,Syracuse,38,1
Notre Dame,41,USC,31,1
Michigan,23,Michigan St,27,1
Minnesota,25,Nebraska,48,1
Memphis,37,Mississippi,24,1
Georgia,9,Missouri,6,1
Miami OH,12,N Illinois,45,1
Wyoming,28,Nevada,21,1
Ga Southern,56,New Mexico St,26,1
East Carolina,30,Tulsa,17,1
Kansas,20,Texas Tech,30,1
South Carolina,19,Vanderbilt,10,1
North Carolina,50,Wake Forest,14,1
Miami FL,30,Virginia Tech,20,1
Temple,30,UCF,16,1
C Michigan,51,Buffalo,14,1
Baylor,62,West Virginia,38,1
Ohio,14,W Michigan,49,1
Connecticut,20,South Florida,28,1
MTSU,42,Florida Intl,34,1
Ball St,19,Georgia St,31,1
Southern Miss,32,UT San Antonio,10,1
Old Dominion,37,Charlotte,34,1
Arkansas St,37,Louisiana,27,1
East Carolina,14,Temple,24,1
UCLA,40,California,24,1
Appalachian St,31,Ga Southern,13,1
Tulsa,42,Memphis,66,1
San Diego St,48,Utah St,14,1
Mississippi St,42,Kentucky,16,1
Baylor,45,Iowa St,27,1
Texas,23,Kansas St,9,1
Oklahoma St,58,Kansas,10,1
Air Force,42,Fresno St,14,1
N Illinois,49,E Michigan,21,1
Georgia Tech,22,Florida St,16,1
UCF,10,Houston,59,1
Michigan St,52,Indiana,26,1
Nevada,30,Hawaii,20,1
Kent,0,Bowling Green,48,1
Ball St,21,C Michigan,23,1
Miami FL,0,Clemson,58,1
Oregon St,13,Colorado,17,1
Cincinnati,37,Connecticut,13,1
Virginia Tech,43,Duke,45,1
Louisville,17,Boston College,14,1
Arkansas,54,Auburn,46,1
Rice,38,Army,31,1
Alabama,19,Tennessee,14,1
Mississippi,23,Texas A&M,3,1
South Florida,38,SMU,14,1
Charlotte,10,Southern Miss,44,1
Syracuse,20,Pittsburgh,23,1
Maryland,30,Penn St,31,1
San Jose St,31,New Mexico,21,1
Wake Forest,17,NC State,35,1
Marshall,30,North Texas,13,1
Nebraska,28,Northwestern,30,1
Buffalo,41,Ohio,17,1
Rutgers,7,Ohio St,49,1
Vanderbilt,10,Missouri,3,1
Louisiana Tech,45,MTSU,16,1
W Michigan,35,Miami OH,13,1
Florida Intl,41,Old Dominion,12,1
Texas St,36,South Alabama,18,1
UTEP,27,FL Atlantic,17,1
LSU,48,WKU,20,1
New Mexico St,7,Troy,52,1
BYU,70,Wagner,6,1
Boise St,34,Wyoming,14,1
Illinois,13,Wisconsin,24,1
Stanford,31,Washington,14,1
Arizona,42,Washington St,45,1
USC,42,Utah,24,1
North Carolina,26,Virginia,13,1
Oklahoma,63,Texas Tech,27,1
Massachusetts,35,Toledo,51,1
Navy,31,Tulane,14,1
Idaho,27,ULM,13,1
Pittsburgh,19,North Carolina,26,1
Arizona St,55,Oregon,61,1
Ga Southern,37,Texas St,13,1
Miami OH,24,Buffalo,29,1
TCU,40,West Virginia,10,1
E Michigan,28,W Michigan,58,1
Connecticut,31,East Carolina,13,1
Wake Forest,19,Louisville,20,1
Rice,17,Louisiana Tech,42,1
Utah St,58,Wyoming,27,1
Charlotte,10,Marshall,34,1
Ball St,20,Massachusetts,10,1
Iowa,31,Maryland,15,1
Virginia,27,Georgia Tech,21,1
Penn St,39,Illinois,0,1
New Mexico St,55,Idaho,48,1
Florida,27,Georgia,3,0
UCLA,35,Colorado,31,1
NC State,41,Clemson,56,1
Akron,6,C Michigan,14,1
UNLV,27,Boise St,55,1
Hawaii,7,Air Force,58,1
Washington,49,Arizona,3,1
Texas A&M,35,South Carolina,28,1
California,21,USC,27,1
Iowa St,24,Texas,0,1
Kentucky,21,Tennessee,52,1
Washington St,28,Stanford,30,1
Florida St,45,Syracuse,21,1
Texas Tech,53,Oklahoma St,70,1
Kansas,7,Oklahoma,62,1
Utah,27,Oregon St,12,1
Wisconsin,48,Rutgers,10,1
Colorado St,17,San Diego St,41,1
Louisiana,30,ULM,24,1
Temple,20,Notre Dame,24,1
Minnesota,26,Michigan,29,1
Duke,27,Miami FL,30,1
Auburn,19,Mississippi,27,1
Purdue,55,Nebraska,45,1
Old Dominion,30,WKU,55,1
Appalachian St,44,Troy,41,1
Cincinnati,52,UCF,7,1
Arkansas,63,TN Martin,28,1
Memphis,41,Tulane,13,1
SMU,31,Tulsa,40,1
Southern Miss,34,UTEP,13,1
Houston,34,Vanderbilt,0,1
Boston College,10,Virginia Tech,26,1
Arkansas St,48,Georgia St,34,1
FL Atlantic,31,Florida Intl,17,1
North Texas,30,UT San Antonio,23,1
Navy,29,South Florida,17,1
Toledo,27,N Illinois,32,1
Bowling Green,62,Ohio,24,1
Missouri,13,Mississippi St,31,1
Appalachian St,27,Arkansas St,40,1
Kansas St,24,Baylor,31,1
W Michigan,54,Ball St,7,1
Kent,17,Buffalo,18,1
Fresno St,16,Nevada,30,1
SMU,40,Temple,60,1
UTEP,24,Rice,21,1
San Jose St,16,BYU,17,1
Oklahoma St,49,TCU,29,1
Louisville,41,Syracuse,17,1
Colorado,10,Stanford,42,1
Tennessee,27,South Carolina,24,1
Georgia St,21,Louisiana,23,1
Michigan,49,Rutgers,16,1
Northwestern,23,Penn St,21,1
Memphis,20,Navy,45,1
Nebraska,39,Michigan St,38,1
Ohio St,28,Minnesota,14,1
Pittsburgh,30,Notre Dame,42,1
Troy,51,ULM,14,1
Boston College,8,NC State,24,1
Louisiana Tech,56,North Texas,13,1
Texas St,21,New Mexico St,31,1
Air Force,20,Army,3,1
Texas A&M,10,Auburn,26,1
Mississippi,52,Arkansas,53,1
USC,38,Arizona,30,1
Washington St,38,Arizona St,24,1
Massachusetts,13,Akron,17,1
Houston,33,Cincinnati,30,1
Oregon,44,California,28,1
Wyoming,7,Colorado St,26,1
Tulane,3,Connecticut,7,1
North Carolina,66,Duke,31,1
Clemson,23,Florida St,13,1
Miami OH,28,E Michigan,13,1
South Alabama,52,Idaho,45,1
Purdue,14,Illinois,48,1
UNLV,41,Hawaii,21,1
MTSU,27,Marshall,24,1
Alabama,30,LSU,16,1
Texas,59,Kansas,20,1
Oklahoma,52,Iowa St,16,1
Indiana,27,Iowa,35,1
Georgia,27,Kentucky,3,1
Tulsa,45,UCF,30,1
New Mexico,14,Utah St,13,1
Miami FL,27,Virginia,21,1
Florida,9,Vanderbilt,7,1
West Virginia,31,Texas Tech,26,1
Oregon St,0,UCLA,41,1
Washington,23,Utah,34,1
Maryland,24,Wisconsin,31,1
East Carolina,17,South Florida,22,1
WKU,35,FL Atlantic,19,1
UT San Antonio,31,Old Dominion,36,1
Florida Intl,48,Charlotte,31,1
C Michigan,23,Toledo,28,1
Ohio,27,Kent,0,1
W Michigan,27,Bowling Green,41,1
Buffalo,30,N Illinois,41,1
South Alabama,32,Louisiana,25,1
Georgia Tech,21,Virginia Tech,23,1
Colorado,24,USC,27,1
Rice,10,Southern Miss,65,1
South Florida,44,Temple,23,1
West Virginia,38,Texas,20,1
California,54,Oregon St,24,1
Duke,13,Pittsburgh,31,1
Baylor,34,Oklahoma,44,1
Iowa St,31,Oklahoma St,35,1
Stanford,36,Oregon,38,1
Northwestern,21,Purdue,14,1
Nevada,37,San Jose St,34,1
Illinois,3,Ohio St,28,1
Boise St,24,New Mexico,31,1
Tennessee,24,North Texas,0,1
Florida St,34,NC State,17,1
Iowa,40,Minnesota,35,1
FL Atlantic,17,MTSU,24,1
North Carolina,59,Miami FL,21,1
Houston,35,Memphis,34,1
Indiana,41,Michigan,48,1
Rutgers,14,Nebraska,31,1
Colorado St,49,UNLV,35,1
Missouri,20,BYU,16,0
Syracuse,27,Clemson,37,1
Miami OH,28,Akron,37,1
Mississippi St,6,Alabama,31,1
Idaho,20,Appalachian St,47,1
LSU,14,Arkansas,31,1
ULM,21,Arkansas St,59,1
Texas Tech,59,Kansas St,44,1
TCU,23,Kansas,17,1
Vanderbilt,21,Kentucky,17,1
Michigan St,24,Maryland,7,1
E Michigan,17,Massachusetts,28,1
South Carolina,14,Florida,24,1
Auburn,13,Georgia,20,1
Hawaii,14,Fresno St,42,1
Troy,10,Ga Southern,45,1
Notre Dame,28,Wake Forest,7,1
Arizona St,27,Washington,17,1
Arizona,37,Utah,30,1
Louisville,38,Virginia,31,1
Army,31,Tulane,34,1
Old Dominion,31,UTEP,21,1
Air Force,35,Utah St,28,1
Cincinnati,49,Tulsa,38,1
San Diego St,38,Wyoming,3,1
Texas A&M,41,W Carolina,17,1
UCLA,27,Washington St,31,1
Charlotte,27,UT San Antonio,30,1
Marshall,52,Florida Intl,0,1
Texas St,19,Georgia St,41,1
Navy,55,SMU,14,1
Ohio,48,Ball St,31,1
Bowling Green,28,Toledo,44,1
N Illinois,27,W Michigan,19,1
Kent,14,C Michigan,27,1
UCF,7,East Carolina,44,1
Texas St,16,ULM,3,1
South Florida,65,Cincinnati,27,1
Boise St,30,Air Force,37,1
South Carolina,22,Citadel,23,1
Stanford,35,California,22,1
Virginia,42,Duke,34,1
New Mexico,21,Colorado St,28,1
Washington St,27,Colorado,3,1
Oklahoma St,35,Baylor,45,1
Arizona St,52,Arizona,37,1
BYU,52,Fresno St,10,1
Miami FL,38,Georgia Tech,21,1
Georgia,23,Ga Southern,17,1
Connecticut,20,Houston,17,1
Minnesota,32,Illinois,23,1
Maryland,28,Indiana,47,1
Auburn,56,Idaho,34,1
Temple,31,Memphis,12,1
UTEP,15,Louisiana Tech,17,1
Pittsburgh,45,Louisville,34,1
Kansas St,38,Iowa St,35,1
Mississippi,38,LSU,17,1
Notre Dame,19,Boston College,16,0
Wisconsin,7,Northwestern,13,1
Virginia Tech,27,North Carolina,30,1
MTSU,41,North Texas,7,1
Louisiana,34,New Mexico St,37,1
Tulsa,21,Navy,44,1
Utah St,31,Nevada,27,1
Arkansas,50,Mississippi St,51,1
Penn St,16,Michigan,28,1
Ohio St,14,Michigan St,17,1
Massachusetts,13,Miami OH,20,1
Oregon,48,USC,28,1
Oklahoma,30,TCU,29,1
Vanderbilt,0,Texas A&M,25,1
NC State,42,Syracuse,29,1
Missouri,8,Tennessee,19,1
Florida St,52,Chattanooga,13,1
Hawaii,23,San Jose St,42,1
Army,21,Rutgers,31,1
UNLV,14,San Diego St,52,1
Iowa,40,Purdue,20,1
UT San Antonio,34,Rice,24,1
Florida Intl,7,WKU,63,1
Kansas,0,West Virginia,49,1
Akron,42,Buffalo,21,1
SMU,49,Tulane,21,1
Utah,9,UCLA,17,1
Oregon St,7,Washington,52,1
Clemson,33,Wake Forest,13,1
Southern Miss,56,Old Dominion,31,1
Georgia St,24,South Alabama,10,1
Florida,20,FL Atlantic,14,1
Alabama,56,Charleston So,6,1
Kentucky,58,Charlotte,10,1
N Illinois,21,Ohio,26,1
Ball St,10,Bowling Green,48,1
Texas,45,Texas Tech,48,1
UCF,3,South Florida,44,1
Toledo,30,W Michigan,35,1
Washington,45,Washington St,10,1
TCU,28,Baylor,21,1
Akron,20,Kent,0,1
Nebraska,20,Iowa,28,1
Buffalo,26,Massachusetts,31,1
C Michigan,35,E Michigan,28,1
Oregon,52,Oregon St,42,1
Pittsburgh,24,Miami FL,29,1
Arkansas,28,Missouri,3,1
Houston,52,Navy,31,1
WKU,49,Marshall,28,1
San Jose St,23,Boise St,40,1
Georgia St,31,Troy,21,1
Tulane,34,Tulsa,45,1
Michigan St,55,Penn St,16,1
Oklahoma St,23,Oklahoma,58,1
LSU,19,Texas A&M,7,1
Memphis,63,SMU,0,1
Louisiana Tech,24,Southern Miss,58,1
Appalachian St,28,Louisiana,7,1
Stanford,38,Notre Dame,36,1
Michigan,13,Ohio St,42,1
Hawaii,28,ULM,26,1
Northwestern,24,Illinois,14,0
San Diego St,31,Nevada,14,1
NC State,34,North Carolina,45,1
UT San Antonio,7,MTSU,42,1
Mississippi St,27,Mississippi,38,1
Wyoming,35,UNLV,28,1
Florida,2,Florida St,27,1
Georgia Tech,7,Georgia,13,1
Purdue,36,Indiana,54,1
Rutgers,41,Maryland,46,1
Kentucky,24,Louisville,38,1
Kansas,14,Kansas St,45,1
West Virginia,30,Iowa St,6,1
Syracuse,20,Boston College,17,1
New Mexico St,28,Arkansas St,52,1
New Mexico,47,Air Force,35,1
Auburn,13,Alabama,29,1
California,48,Arizona St,46,1
Utah,20,Colorado,14,1
South Carolina,32,Clemson,37,1
Fresno St,31,Colorado St,34,1
Wake Forest,21,Duke,27,1
Temple,27,Connecticut,3,1
Utah St,28,BYU,51,1
East Carolina,16,Cincinnati,19,1
Old Dominion,31,FL Atlantic,33,1
Ga Southern,55,South Alabama,17,1
Rice,27,Charlotte,7,1
Minnesota,21,Wisconsin,31,1
North Texas,17,UTEP,20,1
USC,40,UCLA,21,1
Virginia,20,Virginia Tech,23,1
