Home Team,Home Score,Away Team,Away Score,HomeAway Bool
Georgia Tech,69,Alcorn St,6,1
Tulane,7,Duke,37,1
Utah,24,Michigan,17,1
San Jose St,43,New Hampshire,13,1
Idaho,28,Ohio,45,1
South Carolina,17,North Carolina,13,0
Minnesota,17,TCU,23,1
Ball St,48,VMI,36,1
Connecticut,20,Villanova,15,1
Wake Forest,41,Elon,3,1
Nevada,31,UC Davis,17,1
Arizona,42,UT San Antonio,32,1
Vanderbilt,12,WKU,14,1
UCF,14,Florida Intl,15,1
Fresno St,34,Abilene Chr,13,1
Utah St,12,Southern Utah,9,1
Hawaii,28,Colorado,20,1
C Michigan,13,Oklahoma St,24,1
Georgia St,20,Charlotte,23,1
Boise St,16,Washington,13,1
W Michigan,24,Michigan St,37,1
SMU,21,Baylor,56,1
Army,35,Fordham,37,1
Oregon St,26,Weber St,7,1
Syracuse,47,Rhode Island,0,1
NC State,49,Troy,21,1
Clemson,49,Wofford,10,1
Missouri,34,SE Missouri St,3,1
Mississippi,76,TN Martin,3,1
Rice,56,Wagner,16,1
East Carolina,28,Towson,20,1
Pittsburgh,45,Youngstown St,37,1
Air Force,63,Morgan St,7,1
Alabama,35,Wisconsin,17,0
UCLA,34,Virginia,16,1
Arkansas,48,UTEP,13,1
E Michigan,34,Old Dominion,38,1
Miami OH,26,Presbyterian,7,1
Buffalo,51,Albany NY,14,1
Kansas,38,S Dakota St,41,1
Wyoming,13,North Dakota,24,1
Kansas St,34,South Dakota,0,1
Colorado St,65,Savannah St,13,1
Washington St,17,Portland St,24,1
Cincinnati,52,Alabama A&M,10,1
Tulsa,47,FL Atlantic,44,1
Auburn,31,Louisville,24,0
Boston College,24,Maine,3,1
South Florida,51,Florida A&M,3,1
West Virginia,44,Ga Southern,0,1
California,73,Grambling,14,1
Appalachian St,49,Howard,0,1
Iowa,31,Illinois St,14,1
Miami FL,45,Bethune-Cookman,0,1
South Alabama,33,Gardner Webb,23,1
Texas A&M,38,Arizona St,17,0
USC,55,Arkansas St,6,1
Oklahoma,41,Akron,3,1
Oregon,61,E Washington,42,1
Tennessee,59,Bowling Green,30,0
Nebraska,28,BYU,33,1
Southern Miss,16,Mississippi St,34,1
New Mexico,66,MS Valley St,0,1
N Illinois,38,UNLV,30,1
Florida,61,New Mexico St,13,1
Georgia,51,ULM,14,1
Iowa St,31,Northern Iowa,7,1
Houston,52,Tennessee Tech,24,1
Notre Dame,38,Texas,3,1
Northwestern,16,Stanford,6,1
Texas Tech,59,Sam Houston St,45,1
Indiana,48,S Illinois,47,1
Louisiana Tech,62,Southern Univ,15,1
Florida St,59,Texas St,16,1
Memphis,63,Missouri St,7,1
Kentucky,40,Louisiana,33,1
Rutgers,63,Norfolk St,13,1
Temple,27,Penn St,10,1
Maryland,50,Richmond,21,1
Navy,48,Colgate,10,1
MTSU,70,Jackson St,14,1
San Diego St,37,San Diego,3,1
Illinois,52,Kent,3,1
Marshall,41,Purdue,31,1
Virginia Tech,24,Ohio St,42,1
WKU,41,Louisiana Tech,38,1
FL Atlantic,20,Miami FL,44,1
Utah,24,Utah St,14,1
Virginia,27,Notre Dame,34,1
SMU,31,North Texas,13,1
ULM,47,Nicholls St,0,1
North Carolina,53,NC A&T,14,1
Arkansas St,20,Missouri,27,1
N Illinois,57,Murray St,26,1
Alabama,37,MTSU,10,1
Colorado St,20,Minnesota,23,1
Wisconsin,58,Miami OH,0,1
Colorado,48,Massachusetts,14,1
Texas,42,Rice,28,1
Akron,7,Pittsburgh,24,1
Texas St,63,Prairie View,24,1
California,35,San Diego St,7,1
Air Force,37,San Jose St,16,1
Michigan St,31,Oregon,28,1
Old Dominion,24,Norfolk St,10,1
Michigan,35,Oregon St,7,1
Tennessee,24,Oklahoma,31,1
Cincinnati,26,Temple,34,1
TCU,70,SF Austin,7,1
Purdue,38,Indiana St,14,1
Iowa St,17,Iowa,31,1
Mississippi St,19,LSU,21,1
UT San Antonio,3,Kansas St,30,1
Kansas,23,Memphis,55,1
Ohio,21,Marshall,10,1
South Carolina,22,Kentucky,26,1
Boston College,76,Howard,0,1
USC,59,Idaho,9,1
Ohio St,38,Hawaii,0,1
Louisville,31,Houston,34,1
Mississippi,73,Fresno St,21,1
Vanderbilt,14,Georgia,31,1
Arizona St,35,Cal Poly,21,1
Virginia Tech,42,Furman,3,1
Northwestern,41,E Illinois,0,1
NC State,35,E Kentucky,0,1
Wyoming,29,E Michigan,48,1
Florida,31,East Carolina,24,1
Kent,45,Delaware St,13,1
Maryland,27,Bowling Green,48,1
Clemson,41,Appalachian St,10,1
Nevada,20,Arizona,44,1
Texas A&M,56,Ball St,23,1
BYU,35,Boise St,24,1
Connecticut,22,Army,17,1
Southern Miss,52,Austin Peay,6,1
C Michigan,31,Monmouth NJ,10,1
Florida St,34,South Florida,14,1
Washington,49,CS Sacramento,0,1
Duke,55,NC Central,0,1
Troy,44,Charleston So,16,1
Charlotte,34,Presbyterian,10,1
Oklahoma St,32,Cent Arkansas,8,1
Indiana,36,Florida Intl,22,1
New Mexico St,32,Georgia St,34,1
Baylor,66,Lamar,31,1
Nebraska,48,South Alabama,9,1
Texas Tech,69,UTEP,20,1
Toledo,16,Arkansas,12,0
Georgia Tech,65,Tulane,10,1
New Mexico,21,Tulsa,40,1
UNLV,3,UCLA,37,1
Syracuse,30,Wake Forest,17,1
West Virginia,41,Liberty,17,1
Auburn,27,Jacksonville St,20,1
Penn St,27,Buffalo,14,1
Stanford,31,UCF,7,1
Ga Southern,43,W Michigan,17,1
Illinois,44,W Illinois,0,1
Rutgers,34,Washington St,37,1
Louisiana,44,Northwestern LA,17,1
Louisville,17,Clemson,20,1
Boston College,0,Florida St,14,1
Boise St,52,Idaho St,0,1
Arizona St,34,New Mexico,10,1
Texas A&M,44,Nevada,27,1
Old Dominion,14,NC State,38,1
Duke,10,Northwestern,19,1
Arizona,77,Northern Arizona,13,1
Ohio St,20,N Illinois,13,1
W Michigan,52,Murray St,20,1
Miami FL,36,Nebraska,33,1
Michigan,28,UNLV,7,1
Alabama,37,Mississippi,43,1
USC,31,Stanford,41,1
Massachusetts,23,Temple,25,1
Arkansas St,70,Missouri St,7,1
TCU,56,SMU,37,1
Texas St,50,Southern Miss,56,1
Mississippi St,62,Northwestern LA,13,1
Marshall,45,Norfolk St,7,1
Iowa,27,Pittsburgh,24,1
Oregon St,35,San Jose St,21,1
Georgia,52,South Carolina,20,1
Penn St,28,Rutgers,3,1
North Texas,24,Rice,38,1
Toledo,30,Iowa St,23,1
Minnesota,10,Kent,7,1
Tulane,38,Maine,7,1
Kansas St,39,Louisiana Tech,33,1
Bowling Green,41,Memphis,44,1
Kentucky,9,Florida,14,1
UCF,15,Furman,16,1
Notre Dame,30,Georgia Tech,22,1
North Carolina,48,Illinois,14,1
Syracuse,30,C Michigan,27,1
Miami OH,33,Cincinnati,37,1
UCLA,24,BYU,23,1
Texas,44,California,45,1
Ga Southern,48,Citadel,13,1
Colorado,27,Colorado St,24,0
