Home Team,Home Score,Away Team,Away Score,HomeAway Bool
Massachusetts,63,Duquesne,15,1
Colorado St,34,Hawaii,43,1
Rice,31,Prairie View,28,1
New Mexico St,7,Wyoming,29,1
Texas A&M,59,Northwestern LA,7,1
Ball St,42,Central Conn,6,1
Georgia St,24,Kennesaw,20,1
Minnesota,48,New Mexico St,10,1
Purdue,27,Northwestern,31,1
UAB,52,Savannah St,0,1
San Jose St,38,UC Davis,44,1
Connecticut,17,UCF,56,1
Tulane,17,Wake Forest,23,1
Utah,41,Weber St,10,1
Oklahoma St,58,Missouri St,17,1
ULM,34,SE Louisiana,31,1
Stanford,31,San Diego St,10,1
W Michigan,42,Syracuse,55,1
Michigan St,38,Utah St,31,1
Wisconsin,34,WKU,3,1
Duke,34,Army,14,1
E Michigan,51,Monmouth NJ,17,1
Nevada,72,Portland St,19,1
Colorado,45,Colorado St,13,0
Notre Dame,24,Michigan,17,1
Baylor,55,Abilene Chr,27,1
Pittsburgh,33,Albany NY,7,1
Georgia Tech,41,Alcorn St,0,1
Penn St,45,Appalachian St,38,1
Georgia,45,Austin Peay,0,1
Troy,20,Boise St,56,1
Oregon,58,Bowling Green,24,1
Arizona,23,BYU,28,1
Tulsa,38,Cent Arkansas,27,1
Kentucky,35,C Michigan,20,1
Florida,53,Charleston So,6,1
UCLA,17,Cincinnati,26,1
South Carolina,49,Coastal Car,15,1
Buffalo,48,Delaware St,10,1
Arkansas,55,E Illinois,20,1
South Florida,34,Elon,14,1
Oklahoma,63,FL Atlantic,14,1
Charlotte,34,Fordham,10,1
Clemson,48,Furman,7,1
Louisiana,49,Grambling,17,1
Rice,27,Houston,45,1
Ohio,38,Howard,32,1
Fresno St,79,Idaho,13,1
New Mexico,62,Incarnate Word,30,1
Florida Intl,28,Indiana,38,1
Southern Miss,55,Jackson St,7,1
NC State,24,James Madison,13,1
Illinois,31,Kent,24,1
South Alabama,26,Louisiana Tech,30,1
Miami OH,28,Marshall,35,1
Memphis,66,Mercer,14,1
Vanderbilt,35,MTSU,7,1
Hawaii,59,Navy,41,1
Kansas,23,Nicholls St,26,1
Iowa,33,N Illinois,7,1
California,24,North Carolina,17,1
Liberty,52,Old Dominion,10,1
Ohio St,77,Oregon St,31,1
Virginia,42,Richmond,13,1
North Texas,46,SMU,23,1
Ga Southern,37,S Carolina St,6,1
Kansas St,27,South Dakota,24,1
Arkansas St,48,SE Missouri St,21,1
TCU,55,Southern Univ,7,1
Mississippi St,63,SF Austin,6,1
Air Force,38,Stony Brook,0,1
Rutgers,35,Texas St,7,1
Boston College,55,Massachusetts,21,1
USC,43,UNLV,21,1
Missouri,51,TN Martin,14,1
Arizona St,49,UT San Antonio,7,1
Temple,17,Villanova,19,1
Toledo,66,VMI,3,1
Wyoming,19,Washington St,41,1
West Virginia,40,Tennessee,14,0
Maryland,34,Texas,29,1
Alabama,51,Louisville,14,0
Auburn,21,Washington,16,0
Mississippi,47,Texas Tech,27,0
UTEP,10,Northern Arizona,30,1
East Carolina,23,NC A&T,28,1
LSU,33,Miami FL,17,0
Florida St,3,Virginia Tech,24,1
SMU,12,TCU,42,1
FL Atlantic,33,Air Force,27,1
