,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
0,Colorado St,34,Hawaii,43,1
1,New Mexico St,7,Wyoming,29,1
2,Minnesota,48,New Mexico St,10,1
3,Purdue,27,Northwestern,31,1
4,Connecticut,17,UCF,56,1
5,Tulane,17,Wake Forest,23,1
6,Stanford,31,San Diego St,10,1
7,W Michigan,42,Syracuse,55,1
8,Michigan St,38,Utah St,31,1
9,Wisconsin,34,WKU,3,1
10,Duke,34,Army,14,1
11,Colorado,45,Colorado St,13,0
12,Notre Dame,24,Michigan,17,1
13,Penn St,45,Appalachian St,38,1
14,Troy,20,Boise St,56,1
15,Oregon,58,Bowling Green,24,1
16,Arizona,23,BYU,28,1
17,Kentucky,35,C Michigan,20,1
18,UCLA,17,Cincinnati,26,1
19,South Carolina,49,Coastal Car,15,1
20,Oklahoma,63,FL Atlantic,14,1
21,Rice,27,Houston,45,1
22,Florida Intl,28,Indiana,38,1
23,Illinois,31,Kent,24,1
24,South Alabama,26,Louisiana Tech,30,1
25,Miami OH,28,Marshall,35,1
26,Vanderbilt,35,MTSU,7,1
27,Hawaii,59,Navy,41,1
28,Iowa,33,N Illinois,7,1
29,California,24,North Carolina,17,1
30,Liberty,52,Old Dominion,10,1
31,Ohio St,77,Oregon St,31,1
32,North Texas,46,SMU,23,1
33,Rutgers,35,Texas St,7,1
34,Boston College,55,Massachusetts,21,1
35,USC,43,UNLV,21,1
36,Arizona St,49,UT San Antonio,7,1
37,Wyoming,19,Washington St,41,1
38,West Virginia,40,Tennessee,14,0
39,Maryland,34,Texas,29,1
40,Alabama,51,Louisville,14,0
41,Auburn,21,Washington,16,0
42,Mississippi,47,Texas Tech,27,0
43,LSU,33,Miami FL,17,0
44,Florida St,3,Virginia Tech,24,1
45,SMU,12,TCU,42,1
46,FL Atlantic,33,Air Force,27,1
47,Charlotte,9,Appalachian St,45,1
48,Houston,45,Arizona,18,1
49,Colorado St,34,Arkansas,27,1
50,Alabama,57,Arkansas St,7,1
51,Notre Dame,24,Ball St,16,1
52,UT San Antonio,20,Baylor,37,1
53,Temple,29,Buffalo,36,1
54,BYU,18,California,21,1
55,Texas A&M,26,Clemson,28,1
56,Nebraska,28,Colorado,33,1
57,Northwestern,7,Duke,21,1
58,Purdue,19,E Michigan,20,1
59,Old Dominion,20,Florida Intl,28,1
60,Minnesota,21,Fresno St,14,1
61,South Carolina,17,Georgia,41,1
62,NC State,41,Georgia St,7,1
63,South Florida,49,Georgia Tech,38,1
64,Iowa,13,Iowa St,3,1
65,C Michigan,7,Kansas,31,1
66,Florida,16,Kentucky,27,1
67,Army,38,Liberty,14,1
68,Bowling Green,14,Maryland,45,1
69,Navy,22,Memphis,21,1
70,Arizona St,16,Michigan St,13,1
71,Kansas St,10,Mississippi St,31,1
72,Vanderbilt,41,Nevada,10,1
73,Wisconsin,45,New Mexico,14,1
74,Utah St,60,New Mexico St,13,1
75,East Carolina,41,North Carolina,19,1
76,Pittsburgh,6,Penn St,51,1
77,Hawaii,43,Rice,29,1
78,Ohio St,52,Rutgers,3,1
79,Washington St,31,San Jose St,0,1
80,Oklahoma St,55,South Alabama,13,1
81,Texas,28,Tulsa,21,1
82,Coastal Car,47,UAB,24,1
83,Oklahoma,49,UCLA,21,1
84,Boise St,62,Connecticut,7,1
85,Southern Miss,20,ULM,21,1
86,Ga Southern,34,Massachusetts,13,1
87,Stanford,17,USC,3,1
88,N Illinois,6,Utah,17,1
89,UNLV,52,UTEP,24,1
90,Indiana,20,Virginia,16,1
91,Michigan,49,W Michigan,3,1
92,Missouri,40,Wyoming,13,1
93,Cincinnati,21,Miami OH,0,1
94,Wake Forest,34,Boston College,41,1
95,Charlotte,28,Old Dominion,25,1
96,Memphis,59,Georgia St,22,1
97,Northwestern,34,Akron,39,1
98,Mississippi,7,Alabama,62,1
99,San Diego St,28,Arizona St,21,1
100,Tulsa,20,Arkansas St,29,1
101,Indiana,38,Ball St,10,1
102,Oklahoma St,44,Boise St,21,1
103,Wisconsin,21,BYU,24,1
104,N Illinois,24,C Michigan,16,1
105,Florida,48,Colorado St,10,1
106,Baylor,27,Duke,40,1
107,Buffalo,35,E Michigan,28,1
108,Syracuse,30,Florida St,7,1
109,UCLA,14,Fresno St,38,1
110,Clemson,38,Ga Southern,7,1
111,Pittsburgh,24,Georgia Tech,19,1
112,Army,28,Hawaii,21,1
113,Texas Tech,63,Houston,49,1
114,Penn St,63,Kent,10,1
115,Mississippi St,56,Louisiana,10,1
116,Auburn,21,LSU,22,1
117,Toledo,24,Miami FL,49,1
118,Minnesota,26,Miami OH,3,1
119,Georgia,49,MTSU,7,1
120,Purdue,37,Missouri,40,1
121,New Mexico St,25,New Mexico,42,1
122,Arkansas,17,North Texas,44,1
123,Virginia,45,Ohio,31,0
124,TCU,28,Ohio St,40,1
125,Iowa St,27,Oklahoma,37,1
126,Nevada,37,Oregon St,35,1
127,Kansas,55,Rutgers,14,1
128,Oregon,35,San Jose St,22,1
129,Michigan,45,SMU,20,1
130,Maryland,14,Temple,35,1
131,South Alabama,41,Texas St,31,1
132,Nebraska,19,Troy,24,1
133,UAB,31,Tulane,24,1
134,Texas A&M,48,ULM,10,1
135,Florida Intl,63,Massachusetts,24,1
136,Texas,37,USC,14,1
137,Tennessee,24,UTEP,0,1
138,Kansas St,41,UT San Antonio,17,1
139,Notre Dame,22,Vanderbilt,17,1
140,Utah,7,Washington,21,1
141,Louisville,20,WKU,17,1
142,Illinois,19,South Florida,25,1
143,Temple,31,Tulsa,17,1
144,UCF,56,FL Atlantic,36,1
145,Illinois,24,Penn St,63,1
146,USC,39,Washington St,36,1
147,Utah St,42,Air Force,32,1
148,Iowa St,26,Akron,13,1
149,Alabama,45,Texas A&M,23,1
150,Oregon St,14,Arizona,35,1
151,Washington,27,Arizona St,20,1
152,Ball St,20,WKU,28,1
153,Baylor,26,Kansas,7,1
154,Purdue,30,Boston College,13,1
155,Rutgers,13,Buffalo,42,1
156,Massachusetts,49,Charlotte,31,1
157,Cincinnati,34,Ohio,30,1
158,Louisiana,28,Coastal Car,30,1
159,Syracuse,51,Connecticut,21,1
160,South Florida,20,East Carolina,13,1
161,San Diego St,23,E Michigan,20,1
162,Missouri,29,Georgia,43,1
163,Georgia St,15,W Michigan,34,1
164,Indiana,21,Michigan St,35,1
165,Iowa,17,Wisconsin,28,1
166,Mississippi,38,Kent,17,1
167,Kentucky,28,Mississippi St,7,1
168,LSU,38,Louisiana Tech,21,1
169,Marshall,20,NC State,37,1
170,Maryland,42,Minnesota,13,1
171,Memphis,52,South Alabama,35,1
172,Michigan,56,Nebraska,10,1
173,SMU,31,Navy,30,1
174,Toledo,63,Nevada,44,1
175,UTEP,20,New Mexico St,27,1
176,North Carolina,38,Pittsburgh,35,1
177,Ohio St,49,Tulane,6,1
178,Oklahoma St,17,Texas Tech,41,1
179,Oregon,31,Stanford,38,1
180,Southern Miss,40,Rice,22,1
181,Vanderbilt,14,South Carolina,37,1
182,Texas,31,TCU,16,1
183,UT San Antonio,25,Texas St,21,1
184,Arkansas St,27,UNLV,20,1
185,Auburn,34,Arkansas,3,1
186,Bowling Green,23,Miami OH,38,1
187,Florida St,37,N Illinois,19,1
188,Georgia Tech,21,Clemson,49,1
189,Liberty,7,North Texas,47,1
190,ULM,27,Troy,35,1
191,Miami FL,31,Florida Intl,17,1
192,Oklahoma,28,Army,21,1
193,Old Dominion,49,Virginia Tech,35,1
194,Tennessee,21,Florida,47,1
195,Virginia,27,Louisville,3,1
196,Wake Forest,27,Notre Dame,56,1
197,West Virginia,35,Kansas St,6,1
198,Miami FL,47,North Carolina,10,1
199,Colorado,38,UCLA,16,1
200,Tulane,40,Memphis,24,1
201,Air Force,25,Nevada,28,1
202,Alabama,56,Louisiana,14,1
203,Appalachian St,52,South Alabama,7,1
204,Arizona,20,USC,24,1
205,Arizona St,52,Oregon St,24,1
206,Ga Southern,28,Arkansas St,21,1
207,Buffalo,13,Army,42,1
208,Auburn,24,Southern Miss,13,1
209,Ball St,52,Kent,24,1
210,Boston College,45,Temple,35,1
211,California,24,Oregon,42,1
212,UAB,28,Charlotte,7,1
213,Connecticut,7,Cincinnati,49,1
214,Clemson,27,Syracuse,23,1
215,Michigan St,31,C Michigan,20,1
216,Troy,45,Coastal Car,21,1
217,East Carolina,37,Old Dominion,35,1
218,E Michigan,23,N Illinois,26,1
219,MTSU,25,FL Atlantic,24,1
220,Mississippi St,6,Florida,13,1
221,Fresno St,49,Toledo,27,1
222,San Jose St,41,Hawaii,44,1
