,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
0,California,51,Hawaii,31,0
1,Florida Intl,13,Indiana,34,1
2,Louisville,70,Charlotte,14,1
3,Wake Forest,7,Tulane,3,1
4,Minnesota,30,Oregon St,23,1
5,Vanderbilt,10,South Carolina,13,1
6,Tennessee,20,Appalachian St,13,1
7,WKU,46,Rice,14,1
8,Georgia St,21,Ball St,31,1
9,Colorado,44,Colorado St,7,0
10,Stanford,26,Kansas St,13,1
11,Temple,13,Army,28,1
12,Arkansas St,10,Toledo,31,1
13,Georgia Tech,17,Boston College,14,0
14,Florida,24,Massachusetts,7,1
15,Kentucky,35,Southern Miss,44,1
16,Michigan,63,Hawaii,3,1
17,Georgia,33,North Carolina,24,0
18,Ohio,54,Texas St,56,1
19,Ohio St,77,Bowling Green,10,1
20,Penn St,33,Kent,13,1
21,Virginia Tech,36,Liberty,13,1
22,West Virginia,26,Missouri,11,1
23,Alabama,52,USC,6,0
24,Arkansas,21,Louisiana Tech,20,1
25,Iowa,45,Miami OH,21,1
26,Louisiana,10,Boise St,45,1
27,Mississippi St,20,South Alabama,21,1
28,Nebraska,43,Fresno St,10,1
29,North Texas,21,SMU,34,1
30,Northwestern,21,W Michigan,22,1
31,Texas A&M,31,UCLA,24,1
32,Tulsa,45,San Jose St,10,1
33,Auburn,13,Clemson,19,1
34,Houston,33,Oklahoma,23,1
35,Wisconsin,16,LSU,14,1
36,UTEP,38,New Mexico St,22,1
37,Arizona,16,BYU,18,1
38,Washington,48,Rutgers,13,1
39,Wyoming,40,N Illinois,34,1
40,Texas,50,Notre Dame,47,1
41,Florida St,45,Mississippi,34,0
42,Florida Intl,14,Maryland,41,1
43,Syracuse,28,Louisville,62,1
44,Appalachian St,31,Old Dominion,7,1
45,Army,31,Rice,14,1
46,Clemson,30,Troy,24,1
47,Duke,14,Wake Forest,24,1
48,East Carolina,33,NC State,30,1
49,Florida,45,Kentucky,7,1
50,Indiana,30,Ball St,20,1
51,Boston College,26,Massachusetts,7,0
52,Miami FL,38,FL Atlantic,10,1
53,Michigan,51,UCF,14,1
54,Notre Dame,39,Nevada,10,1
55,Ohio St,48,Tulsa,3,1
56,Pittsburgh,42,Penn St,39,1
57,Purdue,20,Cincinnati,38,1
58,South Florida,48,N Illinois,17,1
59,Tennessee,45,Virginia Tech,24,0
60,Auburn,51,Arkansas St,14,1
61,Baylor,40,SMU,13,1
62,Iowa,42,Iowa St,3,1
63,Kansas,21,Ohio,37,1
64,Mississippi St,27,South Carolina,14,1
65,Missouri,61,E Michigan,21,1
66,Nebraska,52,Wyoming,17,1
67,Oklahoma,59,ULM,17,1
68,Oklahoma St,27,C Michigan,30,1
69,South Alabama,9,Ga Southern,24,1
70,TCU,38,Arkansas,41,1
71,Texas,41,UTEP,7,1
72,Vanderbilt,47,MTSU,24,1
73,Wisconsin,54,Akron,10,1
74,Illinois,23,North Carolina,48,1
75,Alabama,38,WKU,10,1
76,Air Force,48,Georgia St,14,1
77,Boise St,31,Washington St,28,1
78,Colorado St,23,UT San Antonio,14,1
79,New Mexico St,32,New Mexico,31,1
80,Utah,20,BYU,19,1
81,Arizona St,68,Texas Tech,55,1
82,Oregon,44,Virginia,26,1
83,UCLA,42,UNLV,21,1
84,USC,45,Utah St,7,1
85,Navy,28,Connecticut,24,1
86,San Diego St,45,California,40,1
87,Cincinnati,16,Houston,40,1
88,UT San Antonio,28,Arizona St,32,1
89,Rice,10,Baylor,38,1
90,Utah St,34,Arkansas St,20,1
91,Appalachian St,10,Miami FL,45,1
92,Bowling Green,21,MTSU,41,1
93,C Michigan,44,UNLV,21,1
94,Charlotte,19,E Michigan,37,1
95,Connecticut,13,Virginia,10,1
96,Florida,32,North Texas,0,1
97,Ga Southern,23,ULM,21,1
98,Georgia Tech,38,Vanderbilt,7,1
99,Kentucky,62,New Mexico St,42,1
100,Marshall,38,Akron,65,1
101,Massachusetts,21,Florida Intl,13,1
102,Michigan,45,Colorado,28,1
103,NC State,49,Old Dominion,22,1
104,Penn St,34,Temple,27,1
105,Rutgers,37,New Mexico,28,1
106,South Carolina,20,East Carolina,15,1
107,Syracuse,20,South Florida,45,1
108,Tennessee,28,Ohio,19,1
109,Toledo,52,Fresno St,17,1
110,UCF,24,Maryland,30,1
111,Virginia Tech,49,Boston College,0,1
112,Notre Dame,28,Michigan St,36,1
113,Louisville,63,Florida St,20,1
114,Miami OH,24,WKU,31,1
115,Arkansas,42,Texas St,3,1
116,Auburn,16,Texas A&M,29,1
117,Illinois,10,W Michigan,34,1
118,Kansas St,63,FL Atlantic,7,1
119,LSU,23,Mississippi St,20,1
120,Louisiana,28,South Alabama,23,1
121,Memphis,43,Kansas,7,1
122,Missouri,27,Georgia,28,1
123,N Illinois,28,San Diego St,42,1
124,Northwestern,24,Duke,13,1
125,Oklahoma St,45,Pittsburgh,38,1
126,SMU,29,Liberty,14,1
127,Southern Miss,31,Troy,37,1
128,TCU,41,Iowa St,20,1
129,Texas Tech,59,Louisiana Tech,45,1
130,Wisconsin,23,Georgia St,17,1
131,Mississippi,43,Alabama,48,1
132,Oklahoma,24,Ohio St,45,1
133,Tulane,14,Navy,21,1
134,Nebraska,35,Oregon,32,1
135,BYU,14,UCLA,17,1
136,UTEP,14,Army,66,1
137,Arizona,47,Hawaii,28,1
138,California,50,Texas,43,1
139,Nevada,38,Buffalo,14,1
140,Stanford,27,USC,10,1
141,San Jose St,17,Utah,34,1
142,Georgia Tech,7,Clemson,26,1
143,Utah,31,USC,27,1
144,E Michigan,27,Wyoming,24,1
145,SMU,3,TCU,33,1
146,Akron,38,Appalachian St,45,1
147,Buffalo,23,Army,20,1
148,Cincinnati,27,Miami OH,20,1
149,Connecticut,24,Syracuse,31,1
150,Florida Intl,14,UCF,53,1
151,FL Atlantic,27,Ball St,31,1
152,Indiana,28,Wake Forest,33,1
153,Kentucky,17,South Carolina,10,1
154,Marshall,28,Louisville,59,1
155,Massachusetts,35,Mississippi St,47,1
156,Michigan,49,Penn St,10,1
157,North Carolina,37,Pittsburgh,36,1
158,Notre Dame,35,Duke,38,1
159,Old Dominion,33,UT San Antonio,19,1
160,Purdue,24,Nevada,14,1
161,Temple,48,Charlotte,20,1
162,Virginia,49,C Michigan,35,1
163,Virginia Tech,54,East Carolina,17,1
164,West Virginia,35,BYU,32,0
165,W Michigan,49,Ga Southern,31,1
166,Rutgers,7,Iowa,14,1
167,South Florida,35,Florida St,55,1
168,Michigan St,6,Wisconsin,30,1
169,Tennessee,38,Florida,28,1
170,Alabama,48,Kent,0,1
171,Iowa St,44,San Jose St,10,1
172,Memphis,77,Bowling Green,3,1
173,MTSU,38,Louisiana Tech,34,1
174,Minnesota,31,Colorado St,24,1
175,Northwestern,13,Nebraska,24,1
176,Mississippi,45,Georgia,14,1
177,Rice,35,North Texas,42,1
