,iteration,Air Force Def,Akron Def,Alabama Def,Appalachian St Def,Arizona Def,Arizona St Def,Arkansas Def,Arkansas St Def,Army Def,Auburn Def,BYU Def,Ball St Def,Baylor Def,Boise St Def,Boston College Def,Bowling Green Def,Buffalo Def,C Michigan Def,California Def,Charlotte Def,Cincinnati Def,Clemson Def,Coastal Car Def,Colorado Def,Colorado St Def,Connecticut Def,Duke Def,E Michigan Def,East Carolina Def,FL Atlantic Def,Florida Def,Florida Intl Def,Florida St Def,Fresno St Def,Ga Southern Def,Georgia Def,Georgia St Def,Georgia Tech Def,Hawaii Def,Houston Def,Illinois Def,Indiana Def,Iowa Def,Iowa St Def,Kansas Def,Kansas St Def,Kent Def,Kentucky Def,Louisiana Def,LSU Def,Liberty Def,Louisiana Tech Def,Louisville Def,MTSU Def,Marshall Def,Maryland Def,Massachusetts Def,Memphis Def,Miami FL Def,Miami OH Def,Michigan Def,Michigan St Def,Minnesota Def,Mississippi Def,Mississippi St Def,Missouri Def,N Illinois Def,NC State Def,Navy Def,Nebraska Def,Nevada Def,New Mexico Def,New Mexico St Def,North Carolina Def,North Texas Def,Northwestern Def,Notre Dame Def,Ohio Def,Ohio St Def,Oklahoma Def,Oklahoma St Def,Old Dominion Def,Oregon Def,Oregon St Def,Penn St Def,Pittsburgh Def,Purdue Def,Rice Def,Rutgers Def,SMU Def,San Diego St Def,San Jose St Def,South Alabama Def,South Carolina Def,South Florida Def,Southern Miss Def,Stanford Def,Syracuse Def,TCU Def,Temple Def,Tennessee Def,Texas Def,Texas A&M Def,Texas St Def,Texas Tech Def,Toledo Def,Troy Def,Tulane Def,Tulsa Def,UAB Def,UCF Def,UCLA Def,ULM Def,UNLV Def,USC Def,UT San Antonio Def,UTEP Def,Utah Def,Utah St Def,Vanderbilt Def,Virginia Def,Virginia Tech Def,W Michigan Def,WKU Def,Wake Forest Def,Washington Def,Washington St Def,West Virginia Def,Wisconsin Def,Wyoming Def
0,0,0.44668353811802314,0.5023424599791005,0.754116115117964,0.5808272710806472,0.4850781154839761,0.5606675273936336,0.4554290392860912,0.3591142607134515,0.6240723692848725,0.7411635145760718,0.5786660212858176,0.4059201121910642,0.5533552251495195,0.578431637292191,0.5538020769090164,0.31734637300543117,0.5279824235025276,0.5202367088321818,0.6641147124775704,0.292539124480636,0.3984112528634091,0.9141853268317541,0.2943297148860392,0.4919632707666054,0.3405424534334909,0.032514412498103676,0.6008866871214832,0.61534708707281,0.22547920561741336,0.40878639163635394,0.8821687305245335,0.3473120085050564,0.5729576096167552,0.7507469492573138,0.46597087888366295,0.6860665686807486,0.18210372132315625,0.4885650254260112,0.3958716454044753,0.30938359644713365,0.3759286566683524,0.5498120539056982,0.826756048971985,0.5563863497984479,0.4185581195036603,0.5380162419512452,0.2853943037034998,0.8489388463956322,0.22233799144804195,0.7475736909606753,0.2392717921309669,0.5251140759236468,0.533937868518759,0.5320837354159508,0.5394201824663457,0.5219866593082488,0.18879386619831817,0.2709540174275374,0.7026587938363333,0.4577636435484899,0.8475646470555599,0.8278183817687934,0.6046731916309472,0.42488931925279094,0.8870059481708563,0.48452898623773843,0.505544767024774,0.5366432541148076,0.3279426076333404,0.5153307841999959,0.47313941145580557,0.38268094798576663,0.16163717303242037,0.3544347313300238,0.43326538067752074,0.821255985062545,0.8039568755289309,0.3681207755574697,0.6488583555089822,0.5168964035185944,0.3985563286051601,0.2455140456541526,0.5508981562184551,0.2702186821163054,0.7258402821895449,0.5292353269205506,0.6248974486798379,0.26389712676543564,0.5162133567114215,0.22737599785716353,0.616905387253961,0.30379836871817995,0.1782628163270308,0.726294838635899,0.2955684733294496,0.48729282238072746,0.7434236074760291,0.47906544202499507,0.599284695719252,0.38545137341263647,0.6235077806672735,0.5021649617317755,0.6826816888408174,0.2902224547431758,0.4718951281211684,0.3035689019526015,0.46994092373306007,0.30840901729641645,0.31534069617373534,0.5075237725081018,0.44661259165551154,0.38682767211232677,0.29373513803594703,0.27214568975516873,0.5437222478732191,0.5144850040495585,0.26880225792083556,0.6434324203886905,0.5718594328521219,0.5951445951576327,0.7593778615741278,0.4815255474127032,0.23615823537971947,0.503325718178213,0.4368043393758425,0.7328535226278728,0.6230767090771273,0.4889626922529213,0.8099595568445264,0.5708028369260433
1,1,0.37435563884077616,0.5487897666354213,0.7569857842538117,0.534265130449602,0.4510422245222458,0.6451158106305939,0.38053733871084977,0.424571729370993,0.5630012995436854,0.7575777027712252,0.6300163805655226,0.19267032568772796,0.4918368718009252,0.6372782727976889,0.5995186056870754,0.3092714175009296,0.5044488412391358,0.608056825317568,0.7499460858147647,0.4131436368541693,0.4958706794791326,0.901192475362166,0.2342983478637075,0.49376643746717624,0.27438013384210685,0.0679367787021309,0.6969584603561313,0.6131905216253485,0.06083307947565222,0.4510754862222667,0.7804561418379762,0.4489467621073883,0.6442977198796628,0.7439079366345845,0.4908174523811091,0.7548347786498342,0.25166016831578636,0.508261028559607,0.28825340926929405,0.18694886034917604,0.5294178470290037,0.5820230698121533,0.8372331248923557,0.6537729056192803,0.44598795216657744,0.5432777358599906,0.3402743377879326,0.8322090342824333,0.2590055852626701,0.6601927901118568,0.2655116865493992,0.5613935955792823,0.40988692321034503,0.5052538367434566,0.5610606248739551,0.5769734818416357,0.1812939381842163,0.17960178798300963,0.8185399766620706,0.47881702113531416,0.833224636347971,0.9096092965251289,0.661982735849578,0.37794229912752525,0.7960679133215611,0.4688144791588886,0.6488295016601363,0.5263017432292604,0.3048066934586458,0.6230280420039775,0.4326230101660326,0.33489547653705926,0.2623880540834628,0.4614744251940882,0.44011101278822073,0.7779380130460135,0.7601496617489019,0.5060379151297307,0.6567423450021207,0.41441912723561747,0.37291222055402107,0.22799649100047376,0.5400826199390801,0.26352054538453684,0.7760072013373247,0.6478068824691042,0.6914712930251352,0.25556512266353293,0.6697912988485781,0.2114634471758302,0.576546492073075,0.2096008233352419,0.16729165667072654,0.5727845720520328,0.26036653470630033,0.5927394829206146,0.6468302159503719,0.5695197702126465,0.5666108704625534,0.37425148696788363,0.576196118668961,0.4334059110479605,0.5779491871483834,0.29209494280333553,0.3503269700387528,0.4077230607357454,0.530689155582817,0.2921704403390517,0.26031886716552366,0.6062208657470946,0.4317610637391751,0.37489214035499474,0.2988355623376086,0.2553028832026644,0.5485766884719955,0.4250242066712632,0.3786791576270494,0.6751222641166891,0.5456120103954215,0.5348209343578793,0.6702339132669778,0.6277558986249078,0.37376064477871007,0.49040197259681373,0.37059788210076,0.7831871235733927,0.570576896456238,0.4434485284287572,0.8001551159433972,0.5076955813528555
2,2,0.5472547441588687,0.5061736032409191,0.7998272643381551,0.6489495490304003,0.36314883810957754,0.5728665197242165,0.3946337265624128,0.3906362789666594,0.6312270065821367,0.8741689036068873,0.6202605073363534,0.3301124422836694,0.4773980083306408,0.7878131242740822,0.5948492282048035,0.2703997632954301,0.5231840868127741,0.45427774564613593,0.6659734669355183,0.46303391113690245,0.5282544907619333,0.9282267236465703,0.3127127673179002,0.5343669829987484,0.4513589518535237,0.11001337215620162,0.7174816872294025,0.567898034557961,0.20934387230954524,0.3866584847615561,0.7369927103536154,0.4983224470306681,0.6314212523500962,0.7685674021800315,0.3793084900794963,0.8405599380902656,0.20085213959415846,0.499364529418845,0.377689631054828,0.1767156799927983,0.4018953539449143,0.5316345248028868,0.7219244125366711,0.5638373620427451,0.29829190705470765,0.5590587328132531,0.3978046316949685,0.8302852827903493,0.2924732483384933,0.772965630273902,0.32341514930441956,0.5727632070808479,0.42211490769720544,0.6511238553227415,0.5586715332112258,0.47066364066163424,0.26434581986647404,0.21047316384957596,0.7005302971436326,0.5640178571126351,0.715776963388181,0.8231272585357773,0.5545998559840412,0.40917522464866235,0.8961220385148797,0.6360846622779343,0.6086549692405632,0.5168515716620793,0.3672899686735006,0.5038686597454082,0.3659963393487549,0.4169577736149105,0.2535356404181192,0.3815748214714187,0.46220660641742795,0.6609536944133649,0.7575579277581403,0.5783698478603271,0.6641361219489097,0.36674096871700607,0.28201605875953556,0.24515876870312112,0.49498037762734776,0.25808606298793907,0.8838844659930796,0.561652926084472,0.5932851750992846,0.3014515018936725,0.5885677438143995,0.24047135660255017,0.6355546386443514,0.33223306466388874,0.176292009483728,0.7147364006509165,0.2540890909986896,0.5744066418011549,0.6094515396281552,0.5225884815258014,0.49165386782463805,0.4122675373919846,0.5516735236518933,0.4756343827779099,0.7146212571064321,0.34951677965890476,0.27192662331504575,0.3754374749715381,0.5339376630311642,0.41853164801405657,0.2975052946189117,0.5988173560361432,0.47119137336382355,0.3952569437680113,0.17434695682615642,0.20174235454101166,0.46202619345803375,0.44545934378453816,0.31672209046553657,0.693026370254479,0.6399418856190893,0.664616896883534,0.689214400054085,0.4925406520332511,0.274566928741067,0.6042941425902969,0.42384537438671877,0.8296166107199541,0.6207565995413081,0.3016950681501649,0.8141729432151751,0.6188499197457145
3,3,0.41045720064908403,0.6083347400205203,0.8964588499650518,0.5694969160958845,0.500348456499671,0.7297725003035331,0.3878515177139141,0.414732346433029,0.603921002038279,0.8303136650808733,0.654135898363814,0.18474271899639502,0.45655572911459064,0.6590390622553416,0.7199542127443251,0.2573035242476622,0.49995918511958354,0.5502069005839326,0.7056903244748468,0.46543865965818537,0.5245652234267475,0.8907274014426189,0.33442039890240516,0.5362500495882159,0.33121750034257186,0.10457591968092028,0.6642869319448389,0.6337836222974341,0.34288739915454414,0.3935933356370727,0.7744843293053536,0.44031069089321134,0.6074847732590353,0.7075475692637757,0.49072247702274896,0.8340312330989066,0.23581933946621975,0.5637261526316761,0.3502212503530865,0.25319163587323307,0.3568476659977546,0.48051622600827404,0.843793475326358,0.5435231070155855,0.4413714741640598,0.61229772333667,0.23270619681825325,0.785296958263431,0.30177686411780125,0.8656239565929315,0.24767172574006716,0.5879454392819495,0.4249074271640974,0.49356854737790035,0.5560069042050817,0.5714323539300142,0.2540644071293349,0.2739529192351204,0.8090932770055863,0.457767638109177,0.8255776864637993,0.9254458566378622,0.6482053085784327,0.3877673130876623,0.9440422588195247,0.581071876160351,0.6314836078255877,0.5368645314578531,0.39192327087244455,0.6009679700122246,0.43955013569578383,0.3002263660788385,0.2600264678851879,0.4744767868812668,0.4053765356051635,0.829668577194899,0.8492214980720567,0.5167121042326923,0.6453832621989899,0.4577838887420763,0.3856151041662,0.22919644624757723,0.5394640045279591,0.2613938160280505,0.805819404081871,0.6100468659090542,0.6684865701835154,0.3441942310183238,0.5712126308024651,0.32850409595068225,0.6809703752125462,0.28643168773555466,0.24219169192573942,0.5848617794320087,0.39112698663755036,0.6096312449356373,0.6958993254599111,0.47886607832262545,0.5905010312160325,0.42459661758918876,0.6117309050059948,0.45388430327032164,0.7233758695973713,0.3706808284585532,0.24107807223848365,0.35621470774645225,0.5347298085205511,0.3787834939177137,0.26422337878918617,0.5967572298553031,0.49021442830569295,0.5462526439977232,0.2515033597398631,0.2813787315625019,0.6064932762705982,0.44533358513338245,0.32960731873019833,0.7716990141237572,0.6420500906221048,0.5983007191282208,0.6074133354961914,0.5644938862276063,0.2734135225832354,0.4633613247980906,0.3870154105325976,0.9210587406192535,0.6360650598808294,0.42448101682225187,0.7467826610755107,0.5642355563027
4,4,0.5016584200727043,0.5900009526453589,0.7975710355552519,0.6869380230786373,0.4587270044217997,0.544403844140057,0.39301334612254973,0.2678416169137556,0.6572635692233816,0.8300117448451593,0.6237019933341564,0.304054567155415,0.5098898192388517,0.6277234023952221,0.7373141997736965,0.43146424644544873,0.5562618154304487,0.5571573910561417,0.7000121927584219,0.48210177319037,0.4793051911635822,0.9227784210844469,0.1699863799194334,0.48024159256598264,0.3351989266990266,0.04755047166484447,0.6064501516397427,0.6355329103527182,0.23872186207965007,0.49051196582882517,0.8130991614793943,0.5852915304306353,0.6192976757499705,0.7654663380681811,0.5424211358852624,0.8266762938152137,0.15857243321428144,0.7110264634438626,0.31639112977224587,0.3218801031664604,0.5464289000463456,0.60585248717792,0.9261827965294653,0.7206783136047592,0.5713021306370452,0.7318482844842915,0.3834963532661954,0.8190667010417341,0.14197418988224422,0.7578415000580713,0.3442134714492567,0.6085730433416603,0.5302145870640386,0.6011426730557105,0.6929775613329688,0.5923429269283442,0.2410138931349453,0.21483021558627544,0.7624100003608772,0.5867822703866044,0.8305257590189343,0.8965239559873746,0.6681025405684531,0.42902541316351117,0.9314728113932164,0.5765762937176011,0.7032316406677691,0.4395885335410806,0.3335669883762353,0.6527339009547738,0.37479369539793356,0.4267570058515554,0.23361407809852394,0.4388531437440919,0.4636575815760867,0.902562899860848,0.7685540297915787,0.5565283447606034,0.6627723950849049,0.4781727253271381,0.45440159772984073,0.3850763603689223,0.44726756616485946,0.2284528332206658,0.7876033402056791,0.6061331472340585,0.755889375188016,0.4505738665157794,0.6266970261121154,0.24633113685656766,0.6229552423070535,0.2886127531925687,0.10794801601894032,0.6297658557286345,0.28255894304554996,0.6573508996365708,0.6224048128701115,0.5264691771667761,0.6542900216301134,0.47965797451182873,0.5457436717933913,0.7022350795236035,0.6752250017452666,0.4286406560590994,0.5007912403148415,0.3889975632156616,0.47632466213035424,0.306106887864348,0.2680089221821967,0.42937215931191924,0.534130559425865,0.3368850896923465,0.2077261159401328,0.23864583234046038,0.5522837671383277,0.5594251236180972,0.3321767116145254,0.7280698077606896,0.5583356054481564,0.5750276837544923,0.768454762635542,0.5826738621355959,0.3763205067891869,0.5577001991725649,0.45563853412466837,0.8533099281386668,0.6554974295245851,0.6432271326898915,0.72362253892091,0.5919833872184309
5,5,0.379335206299621,0.5340252166546863,0.8006781011810369,0.6448451370174477,0.3980310854038997,0.5448118725322394,0.521711903124897,0.36887778735685484,0.5818252567958603,0.7948662856777902,0.5739972359175256,0.4366228444091577,0.5291529541704184,0.5872985087770606,0.5629545938534616,0.2767009139033847,0.3955639779810853,0.41840266664260756,0.633621341952721,0.5357021692750871,0.5651985888033871,0.9895701354828397,0.2665016329034089,0.41270768576222594,0.2976739021551043,0.08792020728936353,0.6307912016115461,0.6058543481463808,0.24108041934687227,0.543712201182124,0.7712331304219759,0.40613369092178486,0.6690728770280713,0.8007496441100872,0.49606273218472485,0.7603831755988355,0.20239157257119278,0.5078117791803218,0.28960343394505283,0.27526267578091596,0.37808388737103005,0.6366654900686822,0.8777029142666405,0.7305231878597,0.5268200391787536,0.5888123210090693,0.38946087470732216,0.863480945526808,0.245628195135653,0.7151755750726767,0.24093577879222255,0.6113474964946606,0.4708629762964635,0.6174225458732829,0.5393822183070611,0.5635415096746712,0.18518148285899316,0.3110996570540929,0.8533664555266895,0.6491303491803572,0.7697619611343652,0.915719565805658,0.6617763869648581,0.4290628830198077,0.9115219239223621,0.6220802304252591,0.7615441618701929,0.6351024986187151,0.3137281318497058,0.5600465726022638,0.5406319910465734,0.3488583210264052,0.2014813497165404,0.36618259352609667,0.531655558604766,0.8433087421279114,0.8724702931864339,0.5310520015522172,0.6120964584717233,0.4802653710521371,0.3705907002917861,0.26419393372634403,0.5484147904630262,0.1774736443066743,0.8462685495967703,0.6013655409138671,0.5917377317019692,0.3522383346817345,0.3924494957719756,0.2730282966393977,0.5761430666320491,0.21461881930574786,0.23549175227881025,0.7039276558242422,0.26358047257299755,0.6333136880578927,0.7477046971383644,0.4915158674406002,0.6762044874371551,0.481086166569459,0.6538348016211873,0.5475453378009364,0.6972754929048819,0.2946299564385477,0.3376297132658356,0.36956376986336764,0.5033801163036898,0.3867453997603572,0.3203931455189555,0.5943120540568889,0.5175893042121819,0.41287117392116024,0.248780693120324,0.2417306227423674,0.4938652896845309,0.5172966862059819,0.23660886043735505,0.712607126884221,0.498283432226752,0.6302186160211984,0.7464783514512779,0.6195371811524177,0.352421772429502,0.5862300629296648,0.5143235423315733,0.8259663248740631,0.5958902052291772,0.28547992839725156,0.7128466210540692,0.5515532356775503
6,6,0.41670869960651147,0.5297281756590371,0.7446247343792156,0.6913779731700932,0.3992523445857582,0.6290096179204032,0.36819571877556556,0.4016309881190114,0.5390672134321899,0.7931672233536574,0.6670108997804108,0.19544796972600698,0.3911780947806741,0.6165898715775394,0.7329310097767122,0.2896139927929413,0.517343114871218,0.5666310524596371,0.5404135750205347,0.5416841661060465,0.4269876087088102,0.9424635913119408,0.3745240257062528,0.377217090128143,0.27706622624013294,0.11913153044292922,0.5787744434987923,0.644220205177291,0.2814025400162607,0.4156173313126381,0.7535895255224417,0.4699723944979643,0.6971486304762584,0.7543873588053192,0.48092897870982565,0.7698983949330692,0.22926333616869285,0.45871278284276557,0.3180731679871101,0.20356862212031665,0.4963928924999639,0.6351048860782081,0.836182685344488,0.6614921970517349,0.330595105890956,0.5160706338525081,0.2834391065844774,0.8871612105016105,0.25215861855981536,0.7489549138611439,0.2565050969276201,0.6120514372889072,0.45361608681492244,0.622294777253266,0.6368368023594916,0.5435724080635063,0.361730416825906,0.2801872252065694,0.8984858796373136,0.5227289533040191,0.7360309338720543,0.876660503831913,0.5719434163034813,0.42639223882338845,0.9162462220178693,0.5246428058500417,0.6674744489041068,0.590096342713564,0.26485135083455147,0.7125746772334888,0.41783474167997764,0.3176038681732622,0.20557999596288348,0.3799248368157364,0.47438253871615005,0.8359995586576817,0.8106221985187307,0.6483342417584601,0.6403387026181576,0.3121885944824477,0.2954599740370833,0.3030117230634808,0.5008516551247454,0.16978513014477684,0.8482550767915296,0.6053829105157786,0.6936916010984592,0.29854409519427405,0.5840143846571247,0.21257922786827874,0.666364363684221,0.2542206605509414,0.295660169822056,0.6370350141583615,0.40905399218895916,0.6356856251203897,0.5330000603415322,0.6197719956083051,0.47303162704999613,0.4680250541818606,0.7107515691676981,0.45041610680028893,0.6030447970689803,0.3056621041027832,0.25221247379387807,0.34854704658808366,0.5322395535357163,0.41732967166239665,0.2719679377287683,0.6721980810670374,0.5638902055785565,0.3427922326292929,0.2558478037568772,0.20966024017363408,0.4514553268543194,0.45398102457877726,0.3875122981388295,0.6090117273384373,0.5168568874518936,0.6756569695667706,0.7022614565298203,0.6138599396844823,0.3345533231726593,0.53897880297061,0.5781996992704918,0.7320024731353745,0.5744741958593772,0.4294552050626203,0.8055453462610069,0.5251658870939
7,7,0.4680285281732177,0.48927793684733895,0.8284195501475948,0.6261681891998768,0.4498754015525411,0.4692248159608563,0.3953458282570611,0.3626588292845412,0.6119535485690575,0.7239715921051879,0.7177674218194453,0.2772903192743129,0.5049921330715799,0.6118777975985255,0.6288849534866408,0.25824315875635406,0.4773319437292574,0.42986323860253906,0.6875327008187262,0.5100927599866644,0.44903026349863473,0.9381898208083465,0.23845713860598527,0.39056997414239153,0.33444620526219976,0.05442116992071628,0.6516058196502181,0.6039708316254261,0.26860113231909843,0.37348042599110526,0.6534117686576875,0.50750657452766,0.6790056482418908,0.688907366270616,0.4828737747828488,0.7228583194778104,0.25775031690888933,0.4648261911840972,0.2700342628895304,0.2537061569498607,0.46777316265344543,0.6294779096461594,0.9267521664970089,0.6285969389951955,0.46899895794021995,0.5710869011938792,0.3008813735506256,0.8449548077545833,0.12121353959848574,0.6706850880124103,0.2579705920942966,0.5700276725689981,0.4551315732137356,0.513088814596302,0.593196796370279,0.6543829664303281,0.23523083765559658,0.22405911762992275,0.7403364786658959,0.3809949119406894,0.714119505864951,0.8884048168149115,0.6729385135064502,0.41321784856738564,0.8648854789004161,0.5547984082157574,0.6269354658978286,0.539499174853429,0.20860118873596556,0.5423529330077459,0.41065744075529304,0.3367264562456962,0.17791034454887847,0.3910383219370218,0.4400935635947794,0.7866861671931822,0.7486327846976343,0.461216405273701,0.6956616154352896,0.4743182440863866,0.3962580332130661,0.2768642279854526,0.5557397644939387,0.23298148551395667,0.8135515092064154,0.6017046807211133,0.7329624399869579,0.27901688683498443,0.5399428785020756,0.25948742352294607,0.5948887397284137,0.18088375921729968,0.1434171303570701,0.5714725353457956,0.2715052835310753,0.603854870645033,0.6156344509489986,0.34654048759348605,0.641241487304523,0.41821652133356985,0.5332482672629335,0.5454889577196613,0.6877447568920727,0.32446703155642653,0.3584857301629175,0.30478266011000277,0.4729780462615248,0.3349138197950527,0.2309625700613538,0.594024438000186,0.37426571190266783,0.4409672623480509,0.2654223257868733,0.17222421917056321,0.43664225244129284,0.46681769187822836,0.32070902023313863,0.7605280915949063,0.480948734442983,0.5051420546772224,0.6397192658121931,0.622496821371315,0.16059240766746696,0.45549975252746,0.4544188224895455,0.841120030598567,0.6696940106818452,0.40499542738039024,0.9929276089137378,0.6192785201761868
8,8,0.33676469666726633,0.5466671089438752,0.8596223334208947,0.6362579970436076,0.40244772918409916,0.5684030167489887,0.310178041670911,0.4226367053742294,0.5713744505141124,0.8025151610781397,0.6539983972808722,0.31283567309617494,0.44700892712995177,0.539449317186402,0.6535769730003325,0.3637257212487045,0.563170758745969,0.5049623000887112,0.7021297458316974,0.4981437796097104,0.42054028663828197,0.9150104695555137,0.24657830246833376,0.48452687732142635,0.3464969677048733,0.051915734516976494,0.6043894885041182,0.6277144355170076,0.20391520329557924,0.40464449115295426,0.7912876071023055,0.47550162137844887,0.5918954097896869,0.7666625373672455,0.5667013992428266,0.8523062726675485,0.2304241304657087,0.585791441414217,0.35190000155568624,0.21433152356674262,0.3920831192289134,0.6030558798763096,0.8471992305750606,0.6691733244761903,0.6029467569319381,0.6241876411913415,0.25237318086243177,0.8524122593177146,0.2359038783752557,0.7073208835114304,0.2607772598520486,0.5725080669783817,0.48012870608987507,0.6285629757751403,0.5358310637319034,0.5902032188372033,0.26444205430877565,0.22901064849138816,0.7016828331395543,0.48640523000130376,0.7543871740571505,0.8635677858065632,0.6240343897765108,0.39153155583466503,0.9017044418854805,0.5825611218308674,0.6854337047171313,0.6032495936430002,0.294783586286433,0.5715129684755383,0.39583021602818275,0.38018263671216695,0.24320294023558958,0.43584341773833163,0.3888807606801691,0.7657342454994387,0.8338366141081502,0.5054230257490557,0.7401036239918182,0.29760306567310635,0.32953608338078927,0.20585552767601434,0.5848884987854958,0.20709685650919601,0.7595488877041929,0.4672080504397947,0.6840941081025573,0.3947558119177646,0.5690375613905786,0.19738483110835428,0.6447302457032625,0.2448611839489561,0.2389462351330495,0.6439771616177352,0.29800266847994816,0.6348407452273194,0.5497382155283677,0.5801491398881233,0.5110611600561463,0.47339849789634036,0.6017571313828753,0.5498966149264659,0.6954463389720681,0.3207986075419367,0.3072298595934199,0.4326845458282391,0.5057236455671986,0.2608058740785245,0.3124242557166298,0.5338890247045054,0.46478521691152075,0.34826901335846994,0.36399968218295853,0.2351708369419551,0.5503631420362646,0.4454358824617375,0.4030255932036575,0.7227997927619602,0.5367692883066856,0.614866352252341,0.6089297960912006,0.547887552991107,0.3656722995927161,0.46729310263637747,0.5107078985682111,0.830019586207493,0.5278599551057982,0.3783153562393663,0.8106581113283207,0.5919335566443935
9,9,0.30020768390227726,0.4866098358558065,0.7573493979682666,0.6216612315861975,0.29360969291434114,0.4443726493471827,0.39520343185402484,0.44303328407086173,0.6076698261064332,0.7596331040398685,0.5497134771106291,0.29197947710099403,0.4596995479974219,0.567404197703932,0.6167928018202921,0.33171698214269685,0.4908205368821103,0.47505311788603016,0.5508360119898409,0.5226321687819181,0.4307934721135157,0.9078506235717434,0.2951862377822151,0.36454629383512804,0.28043664687962383,0.021218800172753228,0.6401526305341854,0.5443226855792885,0.1422261482669659,0.3701744591721335,0.8555266806497656,0.4567740809917253,0.5670661510889129,0.7178658206544863,0.5047560084114002,0.6899695122677497,0.22561167232733786,0.4541464637107782,0.31083599623468106,0.19758915339811725,0.4199311883616372,0.6529995551722411,0.8722678865847351,0.7355285443596628,0.4925713419193231,0.5816203676541716,0.17487863737377707,0.7748285881725059,0.26148780534414295,0.7725287291071726,0.2406604281728433,0.6079297163763938,0.4209129637080403,0.6114703167601657,0.59649192911274,0.5386614986198953,0.17594954215903594,0.12398973386424045,0.7592443398989878,0.4935374420264798,0.8170593349901546,0.8949078200897386,0.7784504452541685,0.4190432663406023,0.9125481752314203,0.48351623146220873,0.5843607140176107,0.5500533370300414,0.2521057411451559,0.5596913018910676,0.34094781726475837,0.3014030004534538,0.24756063500148942,0.3394809555952765,0.46767187423837236,0.833196665962874,0.7487326603626225,0.459393988537877,0.6122238155147872,0.43177863044875947,0.3764605790467511,0.24528188488945107,0.5294871392330827,0.1353859559314853,0.8255648500532878,0.5100504455800047,0.7154523524873067,0.3171196162064761,0.6522012100474838,0.21050117922997316,0.5339058105579739,0.3126854740984558,0.11400536164072378,0.6700969139864303,0.21489607256988674,0.6279235238261479,0.5230102560084967,0.5075076380035685,0.6751496271369751,0.4605650120416713,0.5948485304873489,0.494452409011481,0.6903595364935592,0.3455766008428489,0.38941233902460287,0.3278676606647825,0.4514837676046924,0.3706952259630044,0.2847025933233634,0.5730801393810487,0.40583072981280977,0.3001158530481026,0.31520796704223014,0.21351748856246744,0.42569041199992125,0.5073813084042851,0.3322587940147591,0.6393052687622427,0.5970379635400417,0.5579863534094839,0.5986553853679972,0.5688048095576779,0.28301692626078795,0.5764471178346898,0.5131287073825403,0.762046063124252,0.37776614098549754,0.518176983442107,0.8040369269251784,0.6787216348663158
