,iteration,Air Force Off,Akron Off,Alabama Off,Appalachian St Off,Arizona Off,Arizona St Off,Arkansas Off,Arkansas St Off,Army Off,Auburn Off,BYU Off,Ball St Off,Baylor Off,Boise St Off,Boston College Off,Bowling Green Off,Buffalo Off,C Michigan Off,California Off,Charlotte Off,Cincinnati Off,Clemson Off,Coastal Car Off,Colorado Off,Colorado St Off,Connecticut Off,Duke Off,E Michigan Off,East Carolina Off,FL Atlantic Off,Florida Off,Florida Intl Off,Florida St Off,Fresno St Off,Ga Southern Off,Georgia Off,Georgia St Off,Georgia Tech Off,Hawaii Off,Houston Off,Illinois Off,Indiana Off,Iowa Off,Iowa St Off,Kansas Off,Kansas St Off,Kent Off,Kentucky Off,LSU Off,Liberty Off,Louisiana Tech Off,Louisville Off,MTSU Off,Marshall Off,Maryland Off,Massachusetts Off,Memphis Off,Miami FL Off,Miami OH Off,Michigan Off,Michigan St Off,Minnesota Off,Mississippi Off,Mississippi St Off,Missouri Off,N Illinois Off,NC State Off,Navy Off,Nebraska Off,Nevada Off,New Mexico Off,New Mexico St Off,North Carolina Off,North Texas Off,Northwestern Off,Notre Dame Off,Ohio Off,Ohio St Off,Oklahoma Off,Oklahoma St Off,Old Dominion Off,Oregon Off,Oregon St Off,Penn St Off,Pittsburgh Off,Purdue Off,Rice Off,Rutgers Off,SMU Off,San Diego St Off,San Jose St Off,South Alabama Off,South Carolina Off,South Florida Off,Southern Miss Off,Stanford Off,Syracuse Off,TCU Off,Temple Off,Tennessee Off,Texas Off,Texas A&M Off,Texas St Off,Texas Tech Off,Toledo Off,Troy Off,Tulane Off,Tulsa Off,UAB Off,UCF Off,UCLA Off,ULL Off,ULM Off,UNLV Off,USC Off,UT San Antonio Off,UTEP Off,Utah Off,Utah St Off,Vanderbilt Off,Virginia Off,Virginia Tech Off,W Michigan Off,WKU Off,Wake Forest Off,Washington Off,Washington St Off,West Virginia Off,Wisconsin Off,Wyoming Off
0,0,0.49182881019765795,0.24262162010608573,0.8270077986995928,0.4455897361086989,0.615015212173577,0.562274421852292,0.3806564939584514,0.4608364743594828,0.6269315254595917,0.607359125920248,0.4472006214654715,0.22644375820069013,0.6619603753128871,0.5123341308831383,0.5442742647071164,0.2216930614878178,0.47914230560147597,0.20724065368753586,0.35392566071944725,0.18511649170567157,0.5446624047004387,0.8064615575984886,0.3830994971680498,0.47634895047883324,0.2938709414823975,0.47099289758979107,0.6284938305977728,0.3770126942288799,0.5653721015365899,0.48272130438852634,0.4991509725320769,0.41390880983346495,0.35737434349244257,0.4627466141639158,0.38725416013803604,0.7466856960348016,0.49154587030576874,0.5800231654553879,0.36837383420978453,0.8190384787898218,0.36337893493733897,0.39824164886502683,0.3902945192705973,0.567986897417894,0.508640668849096,0.5843531046842563,0.2599597638595802,0.3627630940309491,0.6260318677631879,0.5389241907039422,0.2447733739486438,0.4265255878123099,0.2895449102970301,0.3243881187644139,0.397755448495777,0.5500466654604079,0.8300804115682316,0.37577156098913445,0.31932895196516164,0.4505012049938116,0.1894757645519145,0.3990262737540097,0.6382680033870615,0.4051982123064079,0.7162963471072106,0.14917124061783596,0.6171137169829487,0.5904020920634645,0.39576843310435206,0.5664844179334404,0.4548154836052367,0.376823708014746,0.47779608658889644,0.48467411993534076,0.31609704985552217,0.5717507936806349,0.6817274097864325,0.6861055518832155,0.993678860640801,0.8262196140730167,0.3198947931909535,0.5266773464753595,0.5864365829778633,0.4814576037569535,0.5414552887601758,0.5251495576652029,0.07041848193828369,0.09846933361608018,0.6477640174970458,0.44114190612579346,0.45508363186737444,0.3487804953374828,0.5548498850434653,0.5796817705083447,0.1659665844809472,0.6109154076284753,0.7561189686989249,0.541642368200337,0.6493889147342577,0.37672810536271434,0.7903307683615928,0.5943915647074027,0.17848647810346732,0.8041035972991644,0.5877523001316339,0.43493427300198473,0.49184034508689706,0.5077907987786916,0.29115778826602423,0.9150843173487739,0.6185212830978061,0.5,0.37828966833523253,0.48415123500874957,0.6858264694344527,0.01581316025264306,0.22171590199754498,0.48807959447257615,0.6822472763292979,0.5031069382947332,0.4779905321917519,0.47954457629286174,0.406725235807357,0.179701653010501,0.5337137187792034,0.48421645392275736,0.6603909653643939,0.8632507095375539,0.4783207965234644,0.32258578451405184
1,1,0.5178528776033409,0.11937214624980423,0.8075513402806905,0.4906722577793413,0.6427567980525281,0.5277548899091312,0.41366866660900664,0.40015352583633373,0.5251565245698436,0.5166084551183187,0.4437282351653036,0.17809670731965993,0.6331426424145966,0.4846933022536064,0.4486934485421025,0.20903649072174008,0.42466297683932097,0.08204752842824914,0.34349745314722874,0.21226038554862986,0.5085081985661368,0.713178251677699,0.31787630488738333,0.5786138917053795,0.3677614603783397,0.4526966578176436,0.4919747309495416,0.28550515754088196,0.6085738018467867,0.5171192212157675,0.5670811026187912,0.38036597469071254,0.33726830526727236,0.33475052270341477,0.36827108688365323,0.6864500759840474,0.3520590821689094,0.43466144976048016,0.3041904781809091,0.849183358668042,0.2714377238459131,0.4176202904119684,0.5444146237494593,0.5576831980633545,0.5046230555857246,0.6172024662526076,0.20506592936291346,0.332732663631873,0.6451001932438978,0.4885554859516504,0.2527029068605411,0.3404265250015363,0.34418091043001553,0.3030796138997757,0.5231178022556409,0.4119467172878274,0.827312537467322,0.36199919907205497,0.22154225088354837,0.5269397781369208,0.31966188380464144,0.3664955418614949,0.6220929763874276,0.44039817447856716,0.6837653648719122,0.21574386839710893,0.5808572636722013,0.48442555623602784,0.4243198037003542,0.38289555418011323,0.36831194150778634,0.30145960263952704,0.40737872509413803,0.5864492729375762,0.3411285538300838,0.5495520722642919,0.4980952373609758,0.7220307513377625,1.0056937440536942,0.9285123981984712,0.3569157374489072,0.5642459872578264,0.524133298827951,0.594969418376435,0.4634752728730913,0.48186586216716054,0.2153366721667743,0.1846967307035063,0.6496336511296417,0.28394689060541234,0.2484905058125571,0.2641163930940825,0.49060252825112394,0.4777073941549825,0.2458250155659499,0.5841039431756998,0.6849063419261338,0.5659537585919935,0.6444039073696907,0.3120084202793253,0.8448367123072604,0.6084525030328438,0.14782152637710028,0.7154596517447208,0.5050847034290462,0.3544567810671945,0.5375305596521598,0.5136706933370768,0.3183257278795603,0.8791396633180382,0.5874748033348,0.5,0.31287817632151477,0.4298012105378777,0.587508524368103,0.11478829649561777,0.13647285410609408,0.5336462511096602,0.636903485822018,0.5318897640638242,0.4604666244832188,0.43431532714683846,0.3616389389074371,0.1922490046475665,0.4882419500556761,0.5022861220943012,0.59853091957368,0.7980516995181922,0.4601427379476298,0.27935163343353536
2,2,0.5175976796959587,0.13179384825291227,0.7696955294896554,0.5283196877096479,0.5684183946573947,0.5264690249357136,0.39226267830859113,0.41248462965966115,0.5778019423691644,0.6186986176343032,0.43700758181444355,0.2659710511161291,0.5364880499281006,0.503216230878332,0.4601016185383781,0.26659909936333687,0.5166494896418281,0.08202107239383956,0.29138407232614655,0.2606716293681228,0.5045028813843714,0.7681662804413387,0.4021135713130564,0.49336868167015707,0.4159205744354441,0.37035965824847156,0.5344681016462537,0.3040037022719434,0.45184087783339083,0.4970032995917546,0.5048024248096892,0.3748409395253181,0.3863278509369678,0.39478674835737526,0.4451413242186044,0.7092320326300429,0.36873945578362255,0.5436891563933923,0.43591538899432053,0.731179856215033,0.3740362602306003,0.38230242483320037,0.47495405416817904,0.5046983051667356,0.4527591486612719,0.4417074592785509,0.2547171523511842,0.3384946215093037,0.6874298220913065,0.5561293621548817,0.36998824025372046,0.37689095265152306,0.3437543856670534,0.37041510054908144,0.3647282437792965,0.4723222048384172,0.8113606656918323,0.4126478232002557,0.36787461113825526,0.57530332220951,0.2576662313478174,0.3328793413602927,0.5581002362004875,0.4937532250458859,0.7063431829547295,0.29302326899798564,0.6094764605189508,0.4789313241070613,0.44425467285074444,0.4392730544960608,0.4573277130303683,0.39797897988109726,0.42495318702127205,0.5453768492028813,0.36228524901614734,0.6654267371297149,0.5933481840256607,0.6711416943325033,0.9335031726817808,0.8818655963523281,0.3131972135884152,0.4942023209570234,0.4706945391263732,0.5462779839408335,0.547064649691854,0.4732397744998876,0.2615433447119298,0.16292716947970382,0.5970117796595205,0.34959337609189534,0.4080624552114384,0.41385113058190004,0.4436824250653641,0.6138115169272026,0.2524034948582963,0.5331921815844496,0.5946081086868281,0.5253628183255116,0.5457716806537496,0.3016393968193923,0.639175686166187,0.6158788236663432,0.21814145006458738,0.6729490293482768,0.5031103547234133,0.5976517923543295,0.543545724023034,0.4664061107291492,0.3015202301229976,0.9361170095081843,0.43864470063043265,0.5,0.37124304829620225,0.46423696540692505,0.5251499619221317,0.13400359250024088,0.13812078663217767,0.5514054769899513,0.6327682561615008,0.45303677625426847,0.4720869448848388,0.41412273460503174,0.4001018467930073,0.18843163159164408,0.6704771778104084,0.4945005907873175,0.6459144295622633,0.8037625782254528,0.4417270030157603,0.362982171002323
3,3,0.47073906605411836,0.25120296994892244,0.764869400240049,0.473409573839597,0.614052394793732,0.5371337886553094,0.4237241046470026,0.45690540035547145,0.5222681158816225,0.6033161253478906,0.39428456478223617,0.3310092829163671,0.5505970275535539,0.4349919871612743,0.5771253813885099,0.36425645752384683,0.4930315945451592,0.16719754833855266,0.38769637674275303,0.17786541962849275,0.5928929633693403,0.7945021230878448,0.3414282892984002,0.48727170521041446,0.3903632569751973,0.35306361635946,0.5618733897993686,0.30343960943161785,0.4850954444400144,0.4724431917509094,0.5001788197693858,0.31352787679082916,0.42269549435726717,0.4248742644852313,0.3463629608846174,0.6868414716129433,0.41594786210846946,0.4627078717538109,0.40583378065032366,0.8227701009332946,0.377970539770741,0.4214082306011263,0.5247381688575468,0.6256516607379923,0.44596620910832385,0.5123629726697825,0.3008933136176791,0.37619887183169753,0.6286342764865501,0.45543355187984247,0.230881379599315,0.33618480460282135,0.30768381599784317,0.3378057523312643,0.398785609254265,0.4184258052124211,0.8288818251147881,0.39272566758711,0.4995289316253888,0.5998807245001235,0.4050233085108555,0.40825936448611705,0.6744972316226636,0.43745481825093185,0.7026331577980758,0.2615542944513282,0.6258373271776146,0.5631232035154999,0.5043242882732337,0.4294338074330943,0.2904876977243448,0.2266732256475769,0.36804347870336773,0.49560700194838125,0.4693459599253912,0.657692642250123,0.4874835817481679,0.7250949986161,0.9060188468901536,0.7438860896521791,0.2582261244956833,0.6757237115027849,0.49258252935554636,0.612617926580981,0.595583570283857,0.6011259591000281,0.13245447022162513,0.17776242976810372,0.5953437819294475,0.2710181064397429,0.2702131450358069,0.2632300088578943,0.4713503542585835,0.49221827249701505,0.2205641453646216,0.5965985070850811,0.7284350879995992,0.44250498271848565,0.6574218079580629,0.2476017017684698,0.7477883980144684,0.6895077729358694,0.1580556680383437,0.7009786161300995,0.6825135134394308,0.3898917702111046,0.4782279612694289,0.44994101869385106,0.26717636808724365,0.9212187221744894,0.5758165506943339,0.5,0.38732537638832226,0.3235968185633468,0.589461696838856,0.14787393212035171,0.04572391048293845,0.6706699558376202,0.6010822447163665,0.4714245977571817,0.3970529949774207,0.41903797188053604,0.46823207223665353,0.17999122300824202,0.5830870002188596,0.5563815600563183,0.7118256845558144,0.7244714145748903,0.5028728024184806,0.3107211510327911
4,4,0.49381083490382954,0.14713390914237842,0.7897303274257764,0.5310727951087186,0.6093119108277367,0.5268889406100526,0.3092547380479732,0.40228123454313036,0.5245614452684069,0.4571346779986374,0.30632014282561637,0.23562645239154908,0.5918498225969588,0.48814079663950666,0.5351355846904768,0.2782461852569412,0.4762681828621141,0.07570054686535381,0.38033589517277966,0.22229064466296478,0.4749516580807863,0.787606380739838,0.3859984447354523,0.5822291076854009,0.26916114194283797,0.4623140255982471,0.5623566267042704,0.26525291492613784,0.3917940156923218,0.4599717243759151,0.46139850934959953,0.3976911166388075,0.3747117246214661,0.5116534939151649,0.503449517859019,0.7083487606235844,0.37502011622194575,0.5491683397838464,0.39647714486519153,0.7762856905702058,0.2987293250912522,0.3704176617235542,0.4312808627595267,0.4575020174792819,0.44436313321771725,0.4433062787617917,0.25316212114896486,0.380138973111885,0.5567916302729167,0.5982944705548756,0.1664084839905096,0.3647284277319442,0.30513502810799153,0.36131048421917805,0.33959800242548005,0.4553307650949063,0.8049560122248641,0.4109885235679881,0.4290643935665834,0.4908337969051294,0.281985985056519,0.3653282428204972,0.5335145442733676,0.4139825209547203,0.6385295793684295,0.20252369482181407,0.633536558950765,0.550727910323146,0.3126541728164656,0.40532188465237934,0.39657309021623005,0.2983076754823317,0.5271322177781208,0.5883490530554384,0.35119243795093946,0.6217038109462276,0.5864322006920568,0.6392259111901984,0.964375038156235,0.6838040308869267,0.38667195188679404,0.567012565484179,0.4486870928610056,0.42598720632954906,0.6762375403289173,0.46450811898390604,0.16390033923069716,0.11053884755810953,0.6023811180784338,0.3926525885834534,0.2854736389100593,0.2180765736269554,0.49681408933912663,0.5838406245146203,0.1447840022550122,0.5222373679953464,0.6812978759459724,0.5641975941512836,0.5454511782125572,0.29115497049145006,0.6518391475569602,0.5893914205791493,0.14093231974447798,0.6435747196567648,0.6207071146317275,0.47232538941935714,0.5179957124838628,0.45733635356309144,0.32126991671035193,0.8468881962087392,0.5100834376046969,0.5,0.36278048005088415,0.37239892847398137,0.5554661869291347,0.021868766145068948,0.08028659680548526,0.6063786075547132,0.5993022872087892,0.4599776339319683,0.47979862143086904,0.5234690919578819,0.39908245189381675,0.22721296603789118,0.555506289263205,0.47566916383321445,0.6143794146073043,0.6499172667611349,0.36524770655973365,0.32089455250829985
5,5,0.6022542934611723,0.20462127388670742,0.8593609825966773,0.5193303791479565,0.6727154009241533,0.5601665060334141,0.4639076203012297,0.45534711340189704,0.6700847634072229,0.5295040931885358,0.5545562706760052,0.20969044386585597,0.6656516150204802,0.6589052644458457,0.4835585130635901,0.2362505861154559,0.4839322983853734,0.17018237694561586,0.3753116442649557,0.2578081135746426,0.6233624744694642,0.7981805611640308,0.4266520552353,0.5099909717407087,0.49710775514208055,0.44440509203952694,0.4774888123946958,0.3204142365783441,0.5726083294429343,0.6765455524004521,0.48155497760497334,0.4395118321724816,0.3522855619581748,0.5178732188338685,0.4058692368773346,0.6599110037995063,0.4206741282045258,0.5532681713358528,0.5425242082078149,0.8320134468996714,0.3558128865216849,0.4163206095148274,0.5215293369951363,0.6389635930862724,0.4713063810868484,0.6594841397288552,0.24297500510263798,0.34264448130378666,0.6514473645647448,0.5369699203401541,0.34093297676537415,0.4487919494908807,0.25276372618970533,0.4186201835031731,0.5575285086910459,0.356450702261959,0.8902847673593238,0.3433663897411506,0.4129021222109094,0.5266556392769456,0.37470474155917954,0.48845423839780905,0.6225883496139011,0.5924204895214568,0.8131026301011132,0.30165080253608356,0.6658557207907947,0.687377317260814,0.47452765449735834,0.4257447241029819,0.44120744867881034,0.36333072349731277,0.42334609679691476,0.6350091967517008,0.3579102620548826,0.5348837994716319,0.5678674924753064,0.7027056837377545,1.077743973140289,0.9143607735728436,0.39347176418621654,0.5557686773374432,0.5398779612346967,0.5701452814139577,0.49391453503682387,0.5157895642104153,0.23070148716661953,0.19564276970351582,0.6884874064919334,0.36824878644501124,0.3725211557018832,0.4657655474167773,0.6074683763657828,0.5897954032189299,0.26566834943949896,0.4543610733051421,0.702873493307169,0.5807905571522453,0.7221648520683605,0.32976137721634885,0.8764704105754961,0.6736590184165634,0.16833980167780216,0.7851592471721631,0.5164949669414117,0.43496250539856923,0.6059534391026946,0.46072158852685613,0.32061359379975457,1.0015080633921793,0.6179969048344722,0.5,0.37076094363639167,0.47888486003720887,0.6000710932997404,0.08512993534416209,0.23895811046452234,0.5750050369403785,0.7843487176512302,0.5394343517309339,0.5311933895764424,0.4521039598227564,0.4662835658772298,0.1995316810798427,0.6587371745286469,0.5188954250612078,0.6476324233548106,0.8944318003755659,0.5926133367954909,0.44913975466390355
6,6,0.5852779012335773,0.26824548770773926,0.8207250385728526,0.5291544517483664,0.7224251679521752,0.6922501835748402,0.41215321413822065,0.544889221719126,0.4743253824843004,0.4929733330117939,0.34900419852406184,0.24240889097005053,0.6475402363567714,0.5595105631626776,0.5885942037367531,0.3162965502067416,0.5166524810300817,0.1253076326287541,0.35661177282989687,0.16123064963578557,0.5428077914656435,0.7801501782221517,0.4157257105821232,0.4553421399737648,0.4027241235624756,0.46732799854984525,0.4847700337263799,0.23431632011176093,0.6454170156890597,0.47646676104274954,0.5015596131082253,0.4719727486845551,0.40858843147965757,0.5018080861697162,0.43912985757027173,0.7395414017479133,0.5422604993812146,0.5889250541811499,0.38626918883640393,0.8910661891871882,0.367103148336745,0.5399013455566486,0.43562997462606246,0.7243780691010515,0.6174346322277525,0.5881157731764853,0.25777893831140974,0.40579386742766077,0.6360812015686407,0.6979156561128181,0.2976123195636629,0.3954941155662017,0.29586857670412264,0.36402830727256474,0.6320165137522328,0.5190725461951495,0.8713594737255989,0.5140872324419339,0.38869889558456355,0.6520640993851895,0.3877357061899435,0.5121473704564826,0.5900647527931966,0.5139847292008682,0.6640147634212246,0.2440360122585325,0.6696912697543856,0.5592711492375446,0.4521588527841241,0.4945330575532267,0.5318053049455566,0.40265414516161413,0.4389806484253799,0.4496886407894735,0.35765619369964047,0.6461618920967622,0.6183412562490771,0.7075459748546624,1.0033708186645125,0.9000451888349632,0.35278504356848356,0.5997405206448096,0.6081356382539267,0.5227813260928149,0.4902898108553437,0.4690558608336126,0.2814457721586536,0.20494626236003508,0.6774087976123802,0.41593280460629445,0.3174511001800423,0.4400111949710856,0.6186809918740683,0.5826999663172289,0.2404369864224324,0.5521470910941,0.6953397303354779,0.5468843674455752,0.6704904921216542,0.32388285358263985,0.8560810723761464,0.6298404158118386,0.22640336143968326,0.877075867275446,0.5548148949981244,0.5318508470316805,0.5527200493651742,0.5510322983815972,0.33922368233154854,0.9044682078462462,0.5459084861106626,0.5,0.4632286532276388,0.45417427179621894,0.6770452942058396,0.13394171777718855,0.27105329842020026,0.4911450244226585,0.671006150343931,0.628195724866547,0.49947367359210837,0.49199252070209487,0.3355979775235197,0.2289962516160725,0.578213845286873,0.4558665750150766,0.6007136869500742,0.822237466274352,0.49232168898761186,0.35310476618878656
7,7,0.4575102435234454,0.22184295719728064,0.8514867782404625,0.4640751159917362,0.5843370468573899,0.49857597672488674,0.4283442030350726,0.45820386633662985,0.4868164536647439,0.4959122346415111,0.4477973696801058,0.218198757944944,0.5494730963050417,0.5709518095391488,0.596535715927855,0.29141653044968896,0.4853477726894122,0.1202337309153239,0.29719554394327025,0.14272998119343952,0.637812258432497,0.7780061260194853,0.38063781293499727,0.5833902178064214,0.3924560542666455,0.4866512329828345,0.5008005231450297,0.31459318168983597,0.4826749618434372,0.344709387726396,0.5270595976673734,0.4684578192359377,0.4696647199304926,0.43622352711138085,0.36048188528856867,0.7383232287078783,0.41708601848629423,0.5294345482863426,0.5055602134972221,0.8501397187669916,0.3633369611358982,0.46045472974327195,0.49681026837167086,0.5324974753166376,0.5498950935026535,0.4841585531882338,0.3037380860775478,0.4078869391271198,0.6520195265450781,0.5256187766998716,0.2943812619873747,0.4212065346591775,0.32577166821272735,0.4118300281389024,0.44840215977009135,0.5302851477045322,0.8758564874743676,0.5255921713273285,0.4672173384909987,0.5285991270719576,0.3477632873828681,0.4528782254928992,0.5546605408510711,0.41032407709139107,0.7011749277446736,0.31048950281118737,0.7673819843617948,0.5843436829097275,0.5179490097222766,0.47040927588450754,0.3778032407395185,0.2901790622001627,0.37986961155900045,0.4580022575152724,0.374959451632046,0.5306749577568073,0.5844312248467348,0.7065282720406405,0.9398943570814439,0.8525708916730529,0.2852001646886236,0.5791991189649128,0.5522220162159255,0.5410506898023275,0.47896902773370637,0.5989623217097776,0.18573958959510023,0.18873326393490583,0.6077417100886614,0.34846384166103456,0.37831788318230036,0.39837201947950807,0.5171459490024591,0.584730274733367,0.2224272353882819,0.5256506307509404,0.708892026344019,0.6205478037812692,0.7445539863975409,0.2345862807442875,0.856434357463411,0.6638294912372039,0.15933368851253854,0.6761279818578223,0.5763023669316127,0.4110621788967223,0.5459483274008177,0.4647316218019526,0.39153626361142774,0.9545577724318824,0.47116413632862203,0.5,0.428318020813907,0.46450216806755845,0.5926267890752932,0.14678371632503065,0.15637356049230258,0.5302255870082488,0.6749552989507237,0.48073658569016237,0.551467908900979,0.5213755750599031,0.4824984137359303,0.19784960211047212,0.6549335899914905,0.47781957146795995,0.6551520632964978,0.8187274715713767,0.4683679574231754,0.37794770487613655
8,8,0.604046507969613,0.1930824514231822,0.8932014681468697,0.6018233863347471,0.6282801622287658,0.42246507688557816,0.5326242350369061,0.5009404338273387,0.5739179264197118,0.5077402438190489,0.3537479276519818,0.256654428408344,0.6057360550262963,0.5672813736183085,0.5883368541338575,0.3558473002641556,0.4554163476168904,0.15978872355720264,0.2715036636508155,0.27329595705572085,0.6797043192120255,0.8446707633817893,0.4650179749898583,0.47594383586828554,0.4915831094482955,0.42104333968036345,0.47709419101516315,0.3763223377016588,0.5138431589459974,0.6642219001982178,0.5785117265949536,0.47962531595947766,0.43628541150322714,0.34035019923875354,0.4469638806899955,0.7227057412469067,0.4812856342039208,0.5505059225649548,0.34542863071785945,0.8395427070785327,0.43282417719775784,0.47887908598068507,0.44708425118355183,0.6522035518764504,0.5360439805358588,0.5644779125432396,0.31160037605945884,0.4224517371534215,0.6971822085551391,0.5458319095870342,0.3292875649288639,0.42230834743496753,0.39612023567939797,0.3916296590909063,0.44227476088700235,0.4162701713718468,0.8412778315567303,0.5201004539666764,0.31066598399393797,0.5423617977947501,0.36224009389872364,0.4606523316461037,0.5973322467586407,0.5074371287223107,0.7262776806154002,0.2612364151328993,0.7470898846953788,0.6167486669544837,0.47804224107606497,0.4222678384220221,0.49824327942752766,0.3622718600877036,0.38694732431995993,0.646514763554044,0.391496551344089,0.5465631356501622,0.5710999974181542,0.7202156546339689,1.0211518132545458,0.8324600037411197,0.4747148099568804,0.5023467534891749,0.5487745125595349,0.5574756760840313,0.4229462251803798,0.5195698032933677,0.3247322251435276,0.1926142166428918,0.7234573219034741,0.29775685624362364,0.34405276122110134,0.35829163040576917,0.5566859935608729,0.5678336687505704,0.23604274303634806,0.46967921359611164,0.7932771070959609,0.47056284940989873,0.7739189390559092,0.3963751762718325,0.8154542787311552,0.5803611659949022,0.22762992477739644,0.8285268184191678,0.5535934251621143,0.47220102666188224,0.5841370358711522,0.553338549509707,0.3662022271966543,0.9244116256186904,0.4926766198176413,0.5,0.4084550958931539,0.3254693434940218,0.46558882398358586,0.15784255274195147,0.29020791633974413,0.4497331423464952,0.7105644389764548,0.5287597144385345,0.6054387984694614,0.5125222298575999,0.460101893796433,0.2912398900327004,0.6849537784513727,0.4137905763037066,0.5563365781119736,0.8857975781467924,0.45056984307487674,0.37878609283292736
9,9,0.5178010177537455,0.12310177100366743,0.8821297453285926,0.5915214671607695,0.643256802231248,0.4792375873554777,0.3391580968157698,0.5216381269742816,0.6261961237190476,0.512561069925114,0.5149461079959378,0.2748538907412249,0.5009291193124202,0.6214946229798413,0.5320476206448811,0.3110604976595537,0.5240318677706943,0.09661796077039951,0.4952195783813981,0.24854703875776726,0.6078440005274254,0.769400011885587,0.37904105700423396,0.44949578249115196,0.5170010815505869,0.40600964980899534,0.5977875970869116,0.38712124731828224,0.5686738312671864,0.5805623221837358,0.48951404933948656,0.4910478877046079,0.36726110271596163,0.5567666380003772,0.553341884530182,0.7073872116070227,0.4140870330184089,0.5281600283067663,0.49795621346271557,0.8444407744570699,0.4549493302450794,0.4109309576974077,0.46192613364072493,0.5427877791012288,0.3953842674283503,0.5230980362671734,0.18903720676133937,0.38642911783190087,0.6620006629877759,0.5239844641388174,0.24608271501782816,0.4095391077681482,0.3188101036344295,0.4452320635613806,0.5612997372378383,0.5098675251458464,0.8610869549845767,0.38866047365559625,0.34159863664363377,0.5367258919841027,0.3404053989274085,0.5423745168721472,0.5110009069689501,0.49437399316949804,0.7232716009178829,0.21541480784864142,0.6160334560893231,0.6253853209028127,0.5996068345049674,0.5125600014245796,0.44653592465962566,0.34722994264227897,0.5434008112092105,0.5410238537051038,0.35179420853589494,0.552301644488561,0.6279762256614176,0.6845534500402436,1.0018918477410572,0.8543810627000742,0.3899456940533161,0.553577007438166,0.4803942947697704,0.6029766275476434,0.46742733603225073,0.5723492593406176,0.22354814418990135,0.21355437007993178,0.6981569584405751,0.4288932019723492,0.40898223187635013,0.36224869163216744,0.48087797344131716,0.6115887738609369,0.2706178962983067,0.5448887254394493,0.6945756524299844,0.5527087766938266,0.7346636900638776,0.33700804818211005,0.7657231964707447,0.5943560918906203,0.2174247492268979,0.680732420049285,0.541554961088158,0.4606844132470614,0.6558769220964452,0.5308959725276071,0.3284651701437712,0.9148527826303107,0.5391135660180266,0.5,0.4235864447722989,0.4932790636213596,0.536506345434796,0.14891773325293686,0.09761086740774169,0.44701635956794866,0.6331562297243131,0.45280884824337414,0.38762322721897924,0.45552844500203366,0.42130055106925074,0.18333191555003878,0.6295017687294271,0.5683873932982618,0.6543025520466933,0.8027230548028306,0.48334685811680805,0.3728422506778058
